modelID,modelName
3640,北汽昌河M50S
2791,绅宝D50
3638,海格H6V
2306,奥轩G5
3639,骐铃T7
2788,悦翔V5
2304,长城M4
2787,绅宝D70
2302,福特E350
2785,睿骋
4962,亚洲龙
3631,乐途
4963,英致737EV
3632,标致308S
3633,揽福
4964,海狮S
3634,东南DX7
3636,海格H6C
3637,东风风度MX6
4981,逸动ET
4982,星越
2314,DS 5(进口)
2313,迈锐宝
2312,力帆720
6,赛弗
2310,奔腾B90
4972,秦Pro新能源
4973,起亚KX3新能源
4974,理想ONE
3644,中兴GX3
4976,长安CS35 PLUS
4977,力帆820EV
2319,起亚K2
4978,欧尚长行
3648,奇瑞eQ
4979,欧尚长行EV
2318,海马爱尚
4992,观境
3661,北汽幻速H2
3662,观致5
4993,途铠
2331,旗云5
4508,御捷E驰
4509,威途X35
2325,智尚S30
2324,奇瑞E5
2323,中华H530
4983,几何A
3652,英菲尼迪QX30
3653,英致737
4984,哈弗F7x
3655,卡升威霆
4986,柯迪亚克GT
4502,北汽幻速S7
3656,卡升C10
4987,BEIJING-U7
4503,中华V7
3657,五菱荣光V
4988,罗夫哈特GR500
4505,KX CROSS
4506,北汽昌河A6
3672,索纳塔九
3673,绅宝D80
4520,宝沃BX6
2341,启辰D50
1010,凯尊
1008,长安CX30
4518,圣达菲5
4519,君马S70
1007,北京现代ix35
1006,东风风神H30
2337,众泰Z300
2336,众泰T200
1005,马自达CX-9
1004,smart forfour
2334,众泰T600
2333,众泰T300
2332,帕杰罗?劲畅(进口)
4510,野马EC30
4994,全球鹰K27
4995,域虎EV
3664,KX3傲跑
4511,道达V8
3665,迈巴赫S级
4997,天际ME7
4516,星途TX
4517,长安欧尚X70A
3681,江铃E100B
3683,奔驰GLE
4530,启腾M70EV
4531,瑞虎5x
2353,福特F-150
1018,ASX劲炫(进口)
1017,索纳塔(进口)
2348,爱唯欧
1016,速迈
1015,帅豹
4522,LITE
3676,风景V3
4523,凯绅
3677,宝骏560
4524,Portofino
4525,福美来F7
4526,奥迪A6L新能源
3691,传祺GS4
3693,金牛座
3695,奔腾B30
2362,库罗德
3207,凯迪拉克ATS-L
2357,Model S
3204,长安CS75
3202,英菲尼迪Q60S
2355,SIERRA
601,菲亚特500
3201,英菲尼迪Q60
2354,坦途
602,酷威
3685,长安之星9
4533,成功V2E
3688,奔驰GLS
605,英菲尼迪EX
606,V3菱悦
3689,沃尔沃XC40(进口)
608,熊猫
609,金鹰
3209,捷豹F-PACE
4552,阅朗
4553,北汽威旺M60
3221,战旗皮卡
3220,力帆X50
3217,奔奔
3216,北斗星X5
3215,威虎G3
3214,海马S5
611,中国龙
612,奇瑞QQme
613,威麟X5
3697,东风小康K07S
614,朗逸
3698,东风小康C31
616,和悦
3699,东风小康C32
617,同悦RS
4560,御风S16
4563,路易斯
3231,北汽威旺307
3230,宝马2系
2381,楼兰
3229,力帆T21
3228,力帆T11
3227,长安睿行M80
3226,启辰R50X
620,smart fortwo
2378,野马F10
622,勇士
623,北京BJ40
4554,荣威Ei5
624,凌傲
4555,君马MEET 3(美图3)
4556,国金GM3
5403,艾瑞泽e
5404,众泰M10EV
627,无限V3
4557,卡威K150GT
5406,旷世
5408,比德文E3
4574,裕路EV2
3244,龙锐
3243,海格H5V
2391,马自达CX-5(进口)
3238,雷克萨斯RC F
631,迈特威
632,奔腾B50
2388,宝马i3
3235,海格H7V
633,宝来
2387,宝马i8
3234,标致2008
634,天籁
635,陆风X9
4566,好运1号
4567,鑫源X30LEV
4568,鑫源T20EV
5415,WEY VV7 GT
4569,揽胜运动版新能源
5416,WEY VV7 GT新能源
639,世嘉
5418,长安星卡C系
5419,长安星卡L1
4580,依维柯欧胜
4581,Polestar 1
4584,奔腾B30EV
5432,海豚EV
4586,勇士皮卡
4102,冠道
5433,跨越王X1
640,标致207(进口)
641,马自达2劲翔
3248,奔驰GLA
4579,揽胜新能源
5428,迈莎锐G级
5441,风行T1EV
5442,迈乔
4111,猎豹CS9
4112,猎豹C5EV
5443,跨越王X5
4597,知豆D3
5444,跨越者D5
3264,奔驰GLA AMG
650,奥迪A1
651,伊柯丽斯
653,英速亚
655,睿翼
656,奇骏
657,科鲁兹
4587,宝骏530
4104,北汽新能源EH
658,马自达CX-7(进口)
4588,逸动DT
4589,领途E行
659,嘉年华
4105,科沃兹
5436,跨越王X3
5437,新豹3
4107,悦纳
5439,长安欧尚X7 EV
5450,五菱宏光PLUS
4120,上汽MAXUS D90
3277,Huracán
3272,E美
660,同悦
661,迷迪
663,众泰5008
3269,速尊
3267,致悦
668,君阁
5445,威然
5446,奕炫EV
669,尚酷
4115,启辰T90
4599,北汽昌河Q7
5447,SHELBY F-150
5448,SHELBY GTE
4130,汉腾X7
5461,锐程CC
4131,海格H4E
4132,长安睿行S50
4133,远景X6
3286,起亚K4
3284,北汽幻速S2
3283,比亚迪G5
670,安德拉
672,马自达MX-5
673,旗胜F1
675,宝马X1(进口)
676,California T
3279,俊风
3278,奔驰SLC级
678,科迈罗
5456,北汽EV5
5457,北汽EV2
4126,猎豹CT7
5470,铂驰NV系列
3291,宝马M8
3290,昕动
5472,威兰达
4141,福瑞达K21
4142,福瑞达K22
5476,开拓者
4146,之诺60H
5477,长安睿行EM60
3298,哈弗H9
3294,马自达3 昂克赛拉
3293,优6 SUV
681,Evora
3292,北京现代ix25
682,沃蓝达
683,奔驰CL级
684,锐界(进口)
201,雷克萨斯IS
202,宝马5系(进口)
686,科雷傲(进口)
204,CIMA
688,标致207
205,风度
3289,中华豚
689,标致308(进口)
206,丰田RAV4(进口)
207,桑塔纳志俊
4137,北汽幻速H2V
208,奇骏(进口)
5469,铂驰VC系列
4139,帝豪GL
209,MINI
4150,红旗HS7
4151,SWM斯威X7
5483,长安神骐T10新能源
5001,富康ES500
4154,北汽威旺M50F
5002,尼欧Ⅱ
4156,海马E3
5004,瑞驰新能源EC31
690,领翔
691,竞悦
692,奥迪A4L
693,沃尔沃S80L
694,锋范经典
210,甲壳虫
211,Saab 9-5
696,欢动
212,雪铁龙C5(进口)
697,雷克萨斯LFA
4147,欧蓝德
4149,江铃E200L
4161,全球鹰K12
4162,瑞途
5010,星越新能源
5494,上汽MAXUS V80新能源
4164,比速T3
5012,江淮iEVS4
4165,祥菱V
5013,江淮iEVA60
5497,风光E1
4166,宝骏510
5014,领克02新能源
4167,标致4008
5498,长安CS55 PLUS
5499,汉
5015,大乘G60E
4168,哈弗H2s
4160,全球鹰K17
222,交叉火力
224,辉腾
227,大捷龙
5005,陆风荣曜
5006,恒好EV7
5007,恒好EV1
5008,科鲁泽
5009,比亚迪e1
4172,卡威K150
4173,比速M3
5021,BEIJING-EX3
4174,传祺GM8
5022,BEIJING-EX5
4175,保时捷718
4178,领主
5026,Aion S(埃安S)
4179,竞瑞
4170,华骐300E
230,赛纳
4171,宝马1系
231,里程
232,毕加索
233,时韵
235,奔驰CLK级
237,奔驰SL级
5016,九龙EM3
4169,海马S5青春版
5018,祥菱S
5031,享域
5034,东风小康D51
5036,帅骐
4181,长安V3
4182,新豹MINI
5027,广汽本田VE-1
5029,蔚揽新能源
4194,轩朗
5042,解放T90
4196,Stelvio
4197,雷克萨斯UX
5045,飞行家新能源(进口)
4198,竞技者
5048,红旗HS5
4192,全顺
5040,高尔夫?纯电
252,酷派
255,雅科仕
256,卫士
257,威赛帝
258,捷豹S-Type
5052,捷途X70S
5055,嘉际新能源
5057,依维柯褒迪新能源
5058,BEIJING-EU5
5059,北汽新能源EC3
261,雷克萨斯GS
5051,佳宝V80新能源
263,自由人
264,途乐
265,幻影
266,阿斯顿?马丁DB9
267,奔驰SLK级
5064,比亚迪S2
5066,长安凯程F70
5067,东风小康D52
5069,大乘G60
270,宝马6系
271,宝马X3(进口)
272,Elise
5060,奔腾T99
5061,探岳GTE
5062,迈腾GTE
275,欧菲莱斯
277,标致307(进口)
5074,长安神骐T10
5076,领动插电混动
5077,上汽MAXUS EV30
5078,Polestar 2
5079,新时代海狮
281,索兰托
5070,风光ix7
283,翼豹
284,嘉华
285,森林人
5073,豪越
286,傲虎
287,力狮
289,总裁
290,特拉卡
291,北京JEEP
293,富康
5081,捷途X95
295,马自达RX-8
5083,上汽MAXUS D60
298,远舰
2800,福顺
2806,速锐
2805,腾势
5096,瑞虎e
5099,勇猛者
5094,宝来?纯电
5095,北汽新能源EC5
2810,金杯海狮
2828,永源五星
2834,五十铃皮卡
2833,奔驰GL级AMG
2839,御风
2838,Macan
2837,海星T22
2836,摩根Plus 8
2835,摩根Aero
2842,奔驰A级AMG(进口)
2841,奥迪SQ5
2840,吉利SC3
2847,宝马5系GT
2846,V12 Zagato
3704,奔驰GLE AMG
2855,五菱荣光小卡
3706,知豆D1
2853,日产ZN厢式车
2852,北京BJ80
2850,无限
3702,新凯威霆
2857,中华H320
3703,新凯凌特
2870,佳宝V70 II代
2867,启辰R50
3716,东风皮卡
2865,东风小康C37
3718,威尔法
2863,翼虎
2860,域虎7
3712,北汽007
3714,北汽幻速H6
3726,宝马2系多功能旅行车
2871,翼搏
3720,法拉利488
3721,金杯T30
3722,金杯T32
2405,索罗德
2888,野马T70
2402,金杯S50
2886,起亚K3
2885,星旺CL
2400,英菲尼迪JX
2883,陆风X5
3731,林肯大陆
3733,迈凯伦675LT
3735,图雅诺
3736,摩根Aero 8
2896,昂科拉
2895,雄师F16
2894,雄狮
3742,阿斯顿?马丁DBX
2418,马自达3星骋
2417,斯巴鲁XV
3759,力帆X80
4606,宝骏360
4608,哈弗H4
4609,沃尔沃XC60新能源
2420,斯汀格
3751,威朗
4600,Lorinser GS500
4601,金旅海狮新能源
3754,雄师F22
4602,瑞驰新能源EK05
4604,大捷龙PHEV(进口)
2429,逸动
4605,名爵6新能源
3758,雷克萨斯RC
2428,Levante
2440,野马F16
4619,瑞风R3
4610,DS 7
3763,华晨金杯750
4612,图雅诺EV
3765,野马T80
4613,汉腾X7新能源
3766,瑞虎7
4614,风行S50EV
3767,迈凯伦570
4615,ENCINO 昂希诺
4616,领克02
3780,宋
3781,元
3782,传祺GA8
3783,长安欧尚A600
4630,传祺GA4
2452,东风小康K01
2451,五菱荣光
4628,江淮iEVA50
2447,巴博斯 CLS级
2446,巴博斯 SLK级
2445,野马F12
2444,巴博斯 S级
3774,宝骏330
3775,佳宝V75
3776,佳宝V77
4624,瑞虎3xe
3777,驭胜S330
3778,库里南
3779,芝麻
3792,风行F600
4640,开沃D08
3793,大迈X5
4641,开沃D09
3794,绅宝CC
2462,风骏5
4639,开沃D07创业者
3307,萨瓦纳
2459,风骏3
3306,英致G3
2456,五菱之光
2455,探索者Ⅲ
3302,宝马2系旅行车(进口)
2454,探索者Ⅱ
3301,景逸S50
2453,探索者6
3300,艾瑞泽M7
700,大众CC
4631,WEY VV6
4632,东南DX3新能源
3785,景逸XV
702,日产370Z
703,Panamera
4633,野马EC60
3786,东风风神AX3
704,福克斯(进口)
3788,博越
705,悦翔
4635,航海家(进口)
706,飞腾
3789,风行S500
3309,DS 5LS
708,众泰M300
4652,威马EX5
2473,雪铁龙C4 Aircross(进口)
3320,艾菲
2472,标致4008(进口)
2469,佳宝V52
2468,佳宝V55
2466,日产D22
2465,佳宝T57
3312,捷豹XE
2464,佳宝V70
3311,长安V5
4642,开沃D10
3795,绅宝X55
713,嘉年华(进口)
714,伊比飒
4645,丰田C-HR
4646,奕泽IZOA
718,LEON
4649,U5 EV
4660,长安欧尚科赛
4662,传祺GM6
4663,捷豹E-PACE
2485,骏意
2001,长城M2
2484,优雅
2482,北汽威旺306
2481,福仕达荣达
2480,众泰V10
3328,讴歌TLX
3326,力帆820
2478,福瑞达
2477,希旺
3324,DS 6
2476,优优
2475,小超人
4653,荣威MARVEL X
723,INSIGHT
4654,索纳塔插电混动
724,标致3008(进口)
725,威兹曼GT
4656,庆铃TAGA
4657,英致EX1
727,Reventon
4658,宝马X3
4670,全界Q1
5520,奔腾E01
4673,大指挥官
4674,T-ROC探歌
3343,宝骏610
2496,优劲
2495,东风小康V27
2494,东风小康V22
3341,东风风神AX7
2493,优胜2代
2492,优胜
2491,东风小康V21
2490,东风小康V07S
5519,启辰星
3339,奔驰GLC(进口)
2489,优派
2005,Sprinter
731,科尼赛克CCX
2488,星旺
3335,创酷
732,科尼赛克CCXR
2487,哈飞小霸王
2486,民意
4665,荣威RX8
5515,零跑T03
5517,Roma
4680,骏派D80
4682,Mattu
4683,捷途X70
5531,江淮iC5
4684,SWM斯威G01
4200,起亚KX7
4685,云逸 C4 AIRCROSS
2021,麦瑞纳
3351,瑞风M3
3349,传祺GA6
740,奥迪A7
3347,福睿斯
2499,东风小康K17
3346,启腾M70
2498,东风小康K06
2497,东风小康K02
4677,零跑S01
5524,好运2号
4678,欧拉iQ
5525,鑫源T50EV
5526,小海狮EV
4679,帝豪GL新能源
749,MINI CLUBMAN
5528,长安新能源E-Pro
5529,标致e2008
4690,柯米克
4691,途达
4693,瑞虎8
5540,炫界
4696,君马SEEK 5(赛克5)
4212,ALPINA B4
2034,唯雅诺
3363,瑞风A60
3362,宝马X7
3361,北汽幻速S3
3360,卡威K1
750,MINI COUNTRYMAN
2029,Espace
2027,哈弗H5
3357,宝马M2
754,揽胜极光(进口)
2025,征服者
2024,探险者(进口)
756,劳恩斯-酷派
4686,上汽MAXUS G50
5534,雷克萨斯UX新能源
758,林肯MKX
4204,C-TREK蔚领
5536,发现运动版
4205,福美来MPV
4689,昌河北斗星
4206,沃尔沃S90
4208,北汽昌河M70
4209,特顺
5550,捷途X70M
4221,领克01
5552,长安之星5
4222,悦纳RV
5553,雪铁龙C3L
4223,艾瑞泽7e
5554,飞行家
2045,奔奔MINI
3372,途凌
762,威飒
5544,铂驰T系列
4698,长安欧尚A600EV
5545,拓陆者驭途
5546,拓陆者胜途
5548,雷神
4217,柯迪亚克
4218,奇瑞eQ1
4230,传祺GS7
4232,途昂
5563,上??V-Class
4233,陆风逍遥
5565,长安UNI-T
4234,瑞风S7
3386,宝马X2(进口)
3385,起亚K3S
3384,开瑞K50
2051,海景
3382,迈凯伦650S
770,RAV4荣放
771,汉兰达
772,昊锐
2049,派喜
2047,标致RCZ
2046,奔奔LOVE
777,自由客
5556,探险者
4226,汉腾X5
4227,伽途im6
5559,新宝骏E300
4228,伽途im8
3390,泰卡特 T2
4240,荣威RX5新能源
4241,上汽MAXUS T60
4242,凌轩
5575,捷途X70 Coupe
3397,瑞虎3
3395,江淮iEV
2063,雷克萨斯CT
3393,泰卡特 T9
2062,荣威350
3392,泰卡特 T7
3391,泰卡特 T3
780,大众up!
300,唯雅诺(进口)
3389,泰卡特 T1
304,马自达8(进口)
305,欧陆
4235,探界者
5566,红旗H9
306,雅致
4237,金杯快运
4238,电咖?EV10
308,法拉利575M
4239,VELITE 5
5581,东风小康C51
4251,捷豹I-PACE
5582,东风小康C52
5583,悦虎ES3
4252,WEY VV7
4253,WEY VV5
5101,SWM斯威G05
4255,传祺GA3S PHEV
5102,凯迪拉克XT6
5586,马自达CX-30
4256,传祺GS4新能源
5103,奕炫
2078,DS 4
2073,918 Spyder
790,东风风神S30
791,瑞麒G6
792,雪铁龙C5
793,林肯MKZ
794,林肯MKT
311,凯迪拉克CTS(进口)
797,瑞麒G5
314,本田CR-V
798,比亚迪M6
799,经典帝豪
2068,Agera
316,日产350Z
4246,荣威i6
317,宝马3系(进口)
4247,名爵ZS
2081,无限V5
4260,威驰FS
5592,瑞驰新能源S513
4261,巴博斯 smart forfour
4262,艾瑞泽5e
5593,凯迪拉克CT4
4263,荣威i6新能源
4264,北汽新能源EC
5111,昂希诺纯电动
5113,领克03新能源
4266,依维柯Ouba
4267,依维柯威尼斯之旅
2088,比亚迪S6
2086,玛驰
2085,比亚迪L3
2084,威霆
322,Coupe
325,格蓝迪
328,捷豹X-Type
329,雪铁龙C3
4259,YARiS L 致享
5107,鑫源T20S
5108,鑫源T30S
4271,标致5008
2091,比亚迪G6
5120,上汽MAXUS EUNIQ 5
2090,长城C30
4274,途观L
5122,缤越新能源
4276,北汽幻速S5
4278,御风EV
2097,AC Schnitzer X5
2095,嘉路
2094,女王
2093,大蛇
4270,五菱之光V
332,雷克萨斯SC
333,途安
334,普拉多(进口)
4269,长安CS55
5117,纳智捷URX
5118,雷诺 e诺
4288,奥迪Q8
341,雷克萨斯LS
342,克莱斯勒300C(进口)
343,Saab 9-3
344,荣御
345,双环SCEO
348,雅特
5126,海狮Z系列
4279,宋MAX
4293,远景X1
4294,金杯F50
5141,法拉利F8
5143,新豹T3
4298,比速T5
4299,东风小康K05S
4291,传祺GE3
351,雷克萨斯RX经典
4292,长安睿行S50T
352,雷克萨斯LX
354,Gallardo
355,颐达
356,明锐(进口)
357,速派(进口)
358,途胜
359,法拉利F430
5137,捷达VA3
5138,捷达VS5
13,来宝SRV
15,宝来经典
5156,风景V5新能源
16,捷达
18,奥迪A6L
19,奥迪A4
360,开迪
361,法拉利360
362,雨燕
363,马自达3
364,福克斯
365,奔驰CLS级
367,法拉利612
368,Passat
369,LANCER
22,马自达6
23,大切诺基
24,帕杰罗速跑
25,欧蓝德经典
5167,Jesko
370,奥迪A3(进口)
371,普锐斯
372,高尔夫(进口)
373,宝马1系(进口)
375,锐志
376,风雅
377,帕杰罗
378,福特GT
379,悍马H3
5174,五菱宏光V
5177,车驰V-Class
38,悍马H2
5178,宋Pro
5179,长安CS75 PLUS
380,PT 漫步者
381,赛飞利
382,晶锐
383,英菲尼迪G系
385,V8 Vantage
386,Vanquish
388,凯旋
389,迈巴赫
45,兰德酷路泽
5185,鑫源T22S
5186,鑫源T32S
46,普拉多
47,海福星
5188,起亚K3新能源
5189,BEIJING-EU7
49,凯迪拉克SRX
390,威航
392,赛豹III
5181,成功BEV6
5183,启辰D60EV
395,哈弗H3
396,瑞虎
397,景程
398,奔驰B级
50,索纳塔八
51,伊兰特
52,奔驰A级(进口)
2903,捷豹F-TYPE
2902,迈凯伦P1
53,帕拉丁
2901,俊风CV03
5195,森雅R8
56,奔驰C级(进口)
57,奔驰M级
