description,isValid,itemName,itemValue,orderNum,parentID,typeCode,typeName
竞品车型黑名单,1,3817,63,1,0,240,竞品车型黑名单
竞品车型黑名单,1,63,3817,2,0,240,竞品车型黑名单
竞品车型黑名单,1,77,3177,1,0,240,竞品车型黑名单
竞品车型黑名单,1,3177,77,2,0,240,竞品车型黑名单
竞品车型黑名单,1,3408,3407,5,0,240,竞品车型黑名单
竞品车型黑名单,1,3407,3408,6,0,240,竞品车型黑名单
竞品车型黑名单,1,3156,2484,7,0,240,竞品车型黑名单
竞品车型黑名单,1,2484,3156,8,0,240,竞品车型黑名单
竞品车型黑名单,1,3017,2476,9,0,240,竞品车型黑名单
竞品车型黑名单,1,2476,3017,10,0,240,竞品车型黑名单
竞品车型黑名单,1,3198,4669,11,0,240,竞品车型黑名单
竞品车型黑名单,1,4669,3198,12,0,240,竞品车型黑名单
竞品车型黑名单,1,4137,3661,13,0,240,竞品车型黑名单
竞品车型黑名单,1,3661,4137,14,0,240,竞品车型黑名单
竞品车型黑名单,1,3672,2649,15,0,240,竞品车型黑名单
竞品车型黑名单,1,2649,3672,16,0,240,竞品车型黑名单
竞品车型黑名单,1,5058,3884,17,0,240,竞品车型黑名单
竞品车型黑名单,1,3884,5058,18,0,240,竞品车型黑名单
竞品车型黑名单,1,4172,4557,19,0,240,竞品车型黑名单
竞品车型黑名单,1,4557,4172,20,0,240,竞品车型黑名单
竞品车型黑名单,1,4443,5223,21,0,240,竞品车型黑名单
竞品车型黑名单,1,5223,4443,22,0,240,竞品车型黑名单
竞品车型黑名单,1,4853,5232,23,0,240,竞品车型黑名单
竞品车型黑名单,1,5232,4853,24,0,240,竞品车型黑名单
竞品车型黑名单,1,5362,2542,25,0,240,竞品车型黑名单
竞品车型黑名单,1,2542,5362,26,0,240,竞品车型黑名单
竞品车型黑名单,1,4914,5348,27,0,240,竞品车型黑名单
竞品车型黑名单,1,5348,4914,28,0,240,竞品车型黑名单
