description,isValid,itemName,itemValue,orderNum,parentID,typeCode,typeName,id
产品参数,1,厂商,基本参数,10,0,390,核心参数展开,
产品参数,1,级别,基本参数,20,0,390,核心参数展开,
产品参数,1,能源类型,基本参数,30,0,390,核心参数展开,
产品参数,1,上市时间,基本参数,40,0,390,核心参数展开,
产品参数,1,工信部纯电续航里程(km),基本参数,50,0,390,核心参数展开,
产品参数,1,快充时间(小时),基本参数,60,0,390,核心参数展开,
产品参数,1,慢充时间(小时),基本参数,70,0,390,核心参数展开,
产品参数,1,快充电量百分比,基本参数,80,0,390,核心参数展开,
产品参数,1,最大功率(kW),基本参数,90,0,390,核心参数展开,
产品参数,1,最大扭矩(N·m),基本参数,100,0,390,核心参数展开,
产品参数,1,发动机,基本参数,110,0,390,核心参数展开,
产品参数,1,变速箱,基本参数,120,0,390,核心参数展开,
产品参数,1,长*宽*高(mm),基本参数,130,0,390,核心参数展开,
产品参数,1,车身结构,基本参数,140,0,390,核心参数展开,
产品参数,1,最高车速(km/h),基本参数,150,0,390,核心参数展开,
产品参数,1,官方0-100km/h加速(s),基本参数,160,0,390,核心参数展开,
产品参数,1,实测0-100km/h加速(s),基本参数,170,0,390,核心参数展开,
产品参数,1,实测100-0km/h制动(m),基本参数,180,0,390,核心参数展开,
产品参数,1,实测续航里程(km),基本参数,190,0,390,核心参数展开,
产品参数,1,实测快充时间(小时),基本参数,200,0,390,核心参数展开,
产品参数,1,实测慢充时间(小时),基本参数,210,0,390,核心参数展开,
产品参数,1,认证车主平均油耗(L/100km),基本参数,220,0,390,核心参数展开,
产品参数,1,工信部综合油耗(L/100km),基本参数,230,0,390,核心参数展开,
产品参数,1,实测油耗(L/100km),基本参数,240,0,390,核心参数展开,
产品参数,1,整车质保,基本参数,250,0,390,核心参数展开,
产品参数,1,轴距(mm),基本参数,260,0,390,核心参数展开,
产品参数,1,前轮距(mm),基本参数,270,0,390,核心参数展开,
产品参数,1,后轮距(mm),基本参数,280,0,390,核心参数展开,
