modelID,yModelID
3831,6118
5556,2497
5125,6162
4711,6116
5620,6272
5594,6242
5588,6215
5511,6208
5530,6162
5495,6118
5488,6116
5647,5405
4609,5274
2024,2497
4979,5804
5539,5889
5525,5940
5508,5999
5419,6043
5418,6044
5438,6051
5446,6062
2041,6072
992,6077
5461,6078
3682,6079
5471,6080
4286,6081
4186,6082
3611,6084
5490,6086
5491,6087
5458,6088
5460,6089
5459,6090
5472,6091
5477,6092
2650,6094
5478,6096
5520,6097
5479,6098
3982,6099
4397,6100
5284,6101
5481,6102
3256,6103
5434,6104
5369,6105
5464,6106
5463,6107
5465,6108
5466,6109
5482,6110
5484,6111
5489,6112
5468,6113
5486,6114
5485,6115
5487,6117
5498,6119
5497,6120
5502,6122
5503,6123
5505,6125
4839,6126
5506,6127
2055,6128
5507,6129
5512,6131
2588,6132
5510,6133
5320,6134
4537,6135
5515,6136
4500,6137
5516,6138
5514,6139
5517,6140
5518,6141
5521,6142
5519,6143
5522,6144
4936,6146
4935,6147
5480,6148
5374,6149
5462,6150
5527,6151
5529,6152
5221,6153
3266,6154
5528,6156
5499,6157
5453,6158
5454,6159
5531,6160
5532,6165
5534,6166
5535,6167
5536,6168
2890,6170
5540,6171
4728,6177
4052,6178
4037,6179
2553,6180
5524,6182
5526,6183
5401,6184
5406,6187
4326,3191
5177,5876
4813,5994
4557,4911
2476,2820
5436,5404
5494,4386
5494,5282
77,2060
2649,4399
5443,4411
23,1560
24,1561
25,1562
291,1563
4586,1564
227,1567
51,1569
706,1570
2850,1571
570,1573
358,1574
431,1575
965,1577
2959,1581
966,1582
2535,1587
2534,1590
417,1592
407,1594
540,1596
76,1597
75,1599
498,1603
433,1604
529,1605
83,1607
2478,1608
117,1610
463,1614
362,1617
94,1618
518,1622
520,1633
2600,1634
2653,1635
491,1636
2665,1639
2514,1640
979,1641
552,1642
6,1647
395,1648
2200,1650
572,1654
961,1655
569,1656
377,1657
962,1659
314,1660
135,1661
437,1663
47,1665
396,1667
230,1670
232,1671
293,1673
388,1674
476,1675
142,1676
565,1678
522,1679
284,1681
298,1682
413,1683
454,1684
