styleID,ystyleID
34304,127594
34305,127595
34306,127596
1771,3
1000,49
874,50
876,51
1276,55
2805,63
2804,64
2906,65
6341,94
3019,177
3018,180
3241,182
3239,184
4540,185
827,196
1000720,259
1000714,265
62,267
1017,268
1776,272
2634,273
2636,275
2635,280
2637,282
3182,283
3183,284
3254,285
605,286
604,288
1455,291
1454,292
1453,293
279,296
280,297
281,299
1381,300
1821,301
1965,302
2449,304
2450,305
2451,306
3406,325
1623,346
1620,347
1621,348
1910,349
1911,350
3843,356
3842,357
3458,361
3459,362
3676,448
3675,449
3677,450
3314,451
3315,452
3316,453
3419,590
3420,591
1192,611
1626,612
1627,613
1824,614
1825,615
13262,690
13258,692
13254,700
13250,709
2625,938
1084,949
1358,950
1039,952
412,955
413,956
414,957
415,958
1357,963
1463,965
1081,966
1335,967
1271,968
1464,969
6755,970
6748,978
3146,981
3147,982
3148,983
3149,984
3150,985
1803,992
1800,993
1804,994
1805,995
1835,996
3460,998
3461,999
3462,1000
3463,1001
3464,1002
3203,1003
3201,1007
4085,1008
6859,1019
6858,1020
1472,1028
1471,1029
1470,1030
1468,1032
1467,1033
1469,1035
1996,1036
1997,1037
1999,1041
1998,1042
1991,1044
1992,1045
1103,1046
1656,1047
595,1051
1145,1053
3681,1063
3682,1064
3683,1065
3684,1066
2525,1200
2526,1204
2531,1209
2529,1210
821,1254
543,1257
2614,1274
2592,1275
1000653,1326
1000652,1328
1000650,1329
1000633,1334
1000649,1335
1000632,1336
1000631,1337
1000528,1350
1000526,1352
2891,1355
2885,1356
2889,1357
2890,1358
2892,1359
2896,1360
2886,1361
2887,1362
2405,1363
2888,1364
2894,1393
2037,1394
2897,1395
2103,1493
2303,1494
2332,1495
2333,1496
2728,1497
2727,1498
2726,1499
2952,1501
3365,1502
2560,1503
2559,1504
2558,1505
2557,1506
1176,1926
1666,1932
6809,1938
1532,1939
1667,1940
1534,1941
1579,1942
755,1965
1275,1984
1448,1985
1449,1986
1450,1987
1542,1988
1631,1989
1643,1990
1633,1991
1641,1992
1630,1993
1640,1994
1632,1995
1642,1996
3602,2001
3603,2002
3605,2003
3604,2004
3606,2005
1533,2007
4350,2015
5814,2019
5812,2020
5811,2021
2338,2022
5813,2023
3518,2024
5806,2028
3526,2029
5810,2031
3524,2032
3525,2033
3154,2035
2913,2037
3153,2039
3152,2041
1477,2128
1478,2129
967,2130
2276,2131
1779,2137
1778,2138
1777,2139
2307,2145
6612,2152
4432,2153
1442,2155
1441,2156
1440,2157
306,2158
303,2159
307,2160
2050,2177
2039,2178
2051,2179
2052,2180
2053,2181
2831,2183
2384,2337
1000465,2352
1000469,2354
1000470,2355
1000471,2356
1000467,2357
1000468,2358
1000472,2359
1000473,2360
1000474,2361
795,2363
1506,2368
1508,2370
649,2371
648,2372
1908,2377
5116,2382
5117,2383
3641,2384
3642,2385
248,2387
3094,2396
3341,2398
4592,2399
3345,2403
1893,2404
3339,2405
3342,2406
3340,2407
3344,2409
3343,2410
3356,2414
3089,2415
3088,2416
5594,2419
5595,2420
2965,2421
1758,2441
1759,2442
1760,2443
1761,2444
1059,2462
1110,2463
1058,2464
1827,2467
1829,2474
2106,2476
2108,2484
2109,2485
1396,2552
1548,2573
1739,2583
1466,2604
6827,2618
793,2619
1596,2641
1721,2643
1723,2645
1599,2646
1397,2650
1878,2652
3667,2656
2562,2657
3668,2658
1720,2659
2641,2661
3673,2662
2643,2664
3670,2665
2314,2713
2781,2729
606,2750
1024,2751
2224,2774
2456,2776
2508,2777
2509,2778
2506,2779
2457,2780
2507,2781
3214,2783
3215,2784
3216,2785
3217,2786
3427,2787
3428,2788
1838,3071
2257,3077
3355,3078
3360,3080
2838,3082
3358,3083
2191,3129
3165,3130
4950,3158
4955,3160
5626,3164
3910,3165
3912,3169
2931,3271
2932,3272
2756,3273
4439,3275
2259,3310
4668,3312
2464,3315
2465,3317
3056,3321
3057,3322
3058,3323
