pc_cityid,app_cityid,city_name,pc_province,app_province,province_name
110000,201,北京市,110000,2,北京市
120000,2601,天津市,120000,26,天津市
130100,901,石家庄市,130000,9,河北省
130200,902,唐山市,130000,9,河北省
130300,905,秦皇岛市,130000,9,河北省
130400,907,邯郸市,130000,9,河北省
130500,903,邢台市,130000,9,河北省
130600,910,保定市,130000,9,河北省
130700,911,张家口市,130000,9,河北省
130800,912,承德市,130000,9,河北省
130900,909,沧州市,130000,9,河北省
131000,906,廊坊市,130000,9,河北省
131100,908,衡水市,130000,9,河北省
140100,2201,太原市,140000,22,山西省
140200,2202,大同市,140000,22,山西省
140300,2218,阳泉市,140000,22,山西省
140400,2206,长治市,140000,22,山西省
140500,2203,晋城市,140000,22,山西省
140600,2219,朔州市,140000,22,山西省
140700,2204,晋中市,140000,22,山西省
140800,2207,运城市,140000,22,山西省
140900,2210,忻州市,140000,22,山西省
141000,2205,临汾市,140000,22,山西省
141100,2227,吕梁市,140000,22,山西省
150100,1801,呼和浩特市,150000,18,内蒙古自治区
150200,1802,包头市,150000,18,内蒙古自治区
150300,1805,乌海市,150000,18,内蒙古自治区
150400,1803,赤峰市,150000,18,内蒙古自治区
150500,1804,通辽市,150000,18,内蒙古自治区
150600,1808,鄂尔多斯市,150000,18,内蒙古自治区
150700,1812,呼伦贝尔市,150000,18,内蒙古自治区
150800,1824,巴彦淖尔市,150000,18,内蒙古自治区
150900,1825,乌兰察布市,150000,18,内蒙古自治区
152200,1814,兴安盟,150000,18,内蒙古自治区
152500,1829,锡林郭勒盟,150000,18,内蒙古自治区
152900,1830,阿拉善盟,150000,18,内蒙古自治区
210100,1701,沈阳市,210000,17,辽宁省
210200,1708,大连市,210000,17,辽宁省
210300,1710,鞍山市,210000,17,辽宁省
210400,1703,抚顺市,210000,17,辽宁省
210500,1709,本溪市,210000,17,辽宁省
210600,1702,丹东市,210000,17,辽宁省
210700,1711,锦州市,210000,17,辽宁省
210800,1714,营口市,210000,17,辽宁省
210900,1704,阜新市,210000,17,辽宁省
211000,1713,辽阳市,210000,17,辽宁省
211100,1716,盘锦市,210000,17,辽宁省
211200,1717,铁岭市,210000,17,辽宁省
211300,1707,朝阳市,210000,17,辽宁省
211400,1705,葫芦岛市,210000,17,辽宁省
220100,1401,长春市,220000,14,吉林省
220200,1402,吉林市,220000,14,吉林省
220300,1616,四平市,220000,14,吉林省
220400,1405,辽源市,220000,14,吉林省
220500,1403,通化市,220000,14,吉林省
220600,1406,白山市,220000,14,吉林省
220700,1425,松原市,220000,14,吉林省
220800,1412,白城市,220000,14,吉林省
222400,1428,延边朝鲜族自治州,220000,14,吉林省
230100,1101,哈尔滨市,230000,11,黑龙江省
230200,1103,齐齐哈尔市,230000,11,黑龙江省
