styleID,guidePrice
1001763,9.28
1001764,9.28
1001765,7.58
1001766,7.58
1003214,7.18
1003215,7.28
1003216,7.38
1003217,7.48
1003218,8.98
1003219,9.08
1003220,6.15
1003221,6.25
1003222,6.35
1003223,6.35
1003224,6.38
1003225,6.48
1000788,18.88
1000789,18.88
1000790,19.88
1001452,19.88
1003795,19.88
1003796,19.98
1003797,9.98
1000786,13.88
1000787,13.88
1003794,25.98
1004232,23.98
1005494,16.8
1005495,16.8
1000816,2.5
1000847,2.69
1000848,3.48
1000849,3.48
1000850,3.59
1000851,3.69
1000858,2.79
1000859,2.69
1002811,6.48
1002812,6.48
1002813,6.48
1002814,6.06
1002815,6.06
1002816,6.06
1002817,7.06
1002818,7.06
1002819,7.06
1002820,7.66
1002821,7.66
1002822,7.66
1002823,8.66
1002824,8.66
1002825,8.66
1001021,7.68
1001022,7.68
1001138,6.08
1001141,6.08
1001142,6.08
1001147,6.08
1001148,7.08
1000729,16.8
1000730,16.8
1000731,16.8
1000732,16.8
1000733,16.8
1000734,16.8
1000735,16.8
1000736,16.8
1001870,16.88
1001872,16.18
1001873,16.18
1001874,19.38
1001875,19.39
1002417,15.58
1004687,20.07
1004688,18.77
1004689,18.37
1004690,13.97
1004691,11.97
1004692,11.57
1001453,15.18
1001454,16.38
1001455,18.68
1001456,19.38
1003566,5.17
1003483,8.79
1003484,9.09
1003485,10.09
1003486,10.39
1003496,6.985
1004948,3.34
1004949,3.16
1004950,3.26
1004952,3.59
1004953,3.27
1004954,3.35
1004942,3.68
1004943,3.97
1004944,3.57
1004945,3.85
1004946,4.14
1005449,3.99
1005619,3.98
1005620,3.68
1003958,6
1003959,7.92
1003960,6.2
1003961,8.12
1003962,6.08
1003965,6.28
1003968,6.05
1003969,5.63
1003970,6.1
1003971,5.83
1003972,5.73
1003973,5.93
1003974,6.63
1003977,6.73
1003978,7.25
1003980,6.86
1003981,6.55
1003982,8.35
1003983,6.19
1003984,6.96
1003986,8.48
1003987,6.29
1003988,6.29
1003989,6.39
1002481,9.86
1002482,10.08
1002483,10.15
1002491,9.66
1003993,10.23
1003994,10.1
1003998,10.98
1003999,8.76
1004000,8.56
1004713,9.8
1005742,8.48
1005745,10.88
1000654,9.68
1000655,11.4
1000656,10.28
1000657,12
1000987,11.78
1000988,11.78
1000989,10.98
1000990,10.98
1002476,8.24
1002477,10.98
1002479,9.56
1002480,11.28
1002484,12.03
1002485,10.68
1002486,11.5
1005445,7.46
1005741,7.6
1005743,8.5
1005744,8.15
1005746,9.82
1006021,7.86
1002466,16.3
1002467,15.5
1003937,8.77
1003940,7.65
1003943,8.12
1003946,6.87
1003947,7.13
1003949,6.87
1003950,7.13
1002263,8.98
1002327,8.98
1005654,7.89
1003952,13.16
1003953,15.47
1003954,18.43
1003956,9.62
1005210,12.38
1005685,11.58
1005686,13.78
1005687,9.88
1005688,11.98
1005684,18.58
1005689,9.75
1005690,12.17
1006022,10.98
1006023,13.18
1000872,8.18
1000873,8.18
1000874,9.68
1001128,9.88
1000891,5.69
1000894,5.59
1001908,7.28
1001900,9.78
1001043,7.98
1001044,7.98
1001045,7.98
1001046,7.98
1001047,7.98
1001048,7.98
1001049,7.98
1001050,7.98
1004479,25.88
1001829,36.8
1000985,43.6
1000986,44.6
1001007,38.6
1001008,39.6
1001070,41.6
1003730,48.7
1003755,46.7
1003756,49.3
1003757,37.6
1002396,5.18
1003924,4.43
1000303,2.88
1000304,3.15
1000245,3.78
1000246,3.98
1000247,3.78
1000248,4.4
1000249,4.08
1000252,4.88
1000253,5.58
1000275,2.89
1000276,3.09
1000277,2.79
1000278,3.09
1000279,2.89
1000280,2.99
1000281,2.99
1000282,3.19
1000283,3.29
1000284,3.88
1000285,3.49
1000286,3.98
1000306,2.58
1000307,2.95
1000308,3.08
1000310,2.58
1000311,2.95
1000312,3.08
1000313,3.18
1000314,3.38
1000316,3.08
1000215,3.38
1000216,3.58
1000217,3.38
1000218,3.58
1000219,3.38
1000220,3.58
1000221,3.38
1000222,3.58
1000223,3.78
1000224,3.98
1000225,3.78
1000226,3.98
1000227,3.78
1000228,3.98
1000229,3.78
1000230,3.98
1000260,3.28
1000262,3.28
1000263,3.48
1000264,3.28
1000266,3.28
1000267,3.48
1000269,3.48
1000270,3.68
1000725,3.38
1000272,3.75
1000274,4.05
1000890,5.98
1003666,60
1006480,17.7
1006481,20
1006482,13
1006483,18.9
1006484,20
1006485,16.1
1003305,6.98
1003290,7.38
1004928,9.98
1004929,8.98
1004930,8.48
1005294,8.3
1005295,8.8
1006472,6.3
1006473,6.9
1006474,6.2
1006475,6.75
1006476,8.55
1006477,9
1006478,8.8
1006479,8.5
1006313,13.88
1006314,16.88
1006315,15.88
1006316,18.58
1006317,22.88
1006318,19.68
1006292,9.3
1006305,10.5
1006306,10
1006307,8.6
1006308,8.5
1006309,10.2
1006310,9.5
1006311,10.6
1006312,9.9
1002890,22.13
1002893,70.8
1000779,16.88
1000782,16.88
1000783,20.88
1001451,20.88
1004226,12.18
1004227,9.98
1004229,13.75
1004230,13.18
1004231,10.98
1004228,12.98
1005030,12.98
1005034,15.08
1005042,14.18
1005059,15.08
1005060,13.88
1005062,13.98
1001780,17.26
1001781,19.56
1001782,20.66
1001943,25
1003039,17.36
1003040,19.66
1003041,22.46
1003042,23.66
1003043,20.76
1003044,17.36
1003045,18.26
1003046,20.56
1003047,23.36
1003048,24.56
1003049,21.66
1003050,18.26
1003051,12.48
1003052,12.48
1003053,14.88
1003054,15.68
1003055,13.38
1003056,13.38
1003057,15.78
1003058,16.58
1003059,12.78
1003060,12.78
1003061,12.78
1003062,23.09
1003063,25.69
1003064,23.09
1003065,20.9
1003066,20.9
1003067,17.9
1003068,19.9
1003070,20.06
1003071,17.66
1003072,18.46
1003073,15.76
1003074,20.86
1003283,16.66
1003284,18.56
