mainBrandID,mainBrandName,nation,nationid
421,Triton,美国,1
420,凌宝汽车,中国,86
419,金冠汽车,中国,86
416,枫叶汽车,中国,86
413,Nikola,美国,1
412,Vega Innovations,斯里兰卡,94
411,Czinger,美国,1
410,APEX,中国,86
409,VANTAS,美国,1
408,瓦滋,俄罗斯,7
406,东风富康,法国,33
405,大运,中国,86
404,SONY,日本,81
403,TOGG,土耳其,90
402,上喆,中国,86
401,Lordstown Motors,美国,1
400,天美汽车,中国,86
399,一汽凌河,中国,86
398,野马新能源,中国,86
397,Aspark,日本,81
396,新宝骏,中国,86
395,Neuron EV,美国,1
393,潍柴汽车,中国,86
392,铂驰,中国,86
391,FOX Automotive,美国,1
390,Bollinger Motors,美国,1
389,Canoo,美国,1
388,SHELBY,美国,1
387,比德文汽车,中国,86
386,汉龙汽车,中国,86
385,Drako,美国,1
383,高合HiPhi,中国,86
382,远程汽车,中国,86
381,迈迈,美国,1
380,De Tomaso,意大利,39
378,AUXUN傲旋,中国,86
377,Sono Motors,德国,49
376,合创,中国,86
375,银隆新能源,中国,86
374,迈莎锐,德国,49
373,几何汽车,中国,86
372,格罗夫,中国,86
371,Genesis,韩国,82
370,GYON,中国,86
369,国机智骏,中国,86
368,清源汽车,中国,86
366,车驰汽车,中国,86
365,Ginetta,英国,44
364,Mole,意大利,39
363,Piëch Automotive,瑞士,41
362,博郡汽车,中国,86
361,GFG Style,意大利,39
360,Puritalia,意大利,39
359,Share2Drive,德国,49
358,捷达,德国,49
357,Hispano Suiza,西班牙,34
356,钧天,中国,86
355,Dianchè,意大利,39
354,AEV ROBOTICS,澳大利亚,61
353,Karma,美国,1
352,RIVIAN,美国,1
351,宝骐汽车,中国,86
350,星途,中国,86
349,敏安汽车,中国,86
348,华人运通,中国,86
346,罗夫哈特,德国,49
345,理想智造,中国,86
343,领途汽车,中国,86
342,Vinfast,越南,84
341,大乘汽车,中国,86
340,Aurus,俄罗斯,7
339,天际汽车,中国,86
338,Micro,瑞士,41
337,容大智造,中国,86
336,红星汽车,中国,86
335,LITE,中国,86
334,哪吒汽车,中国,86
333,北京清行,中国,86
332,欧尚汽车,中国,86
331,欧拉,中国,86
330,思皓SOL,中国,86
329,广汽集团,中国,86
328,刺猬汽车,中国,86
327,爱驰,中国,86
326,东风瑞泰特,中国,86
325,SF MOTORS,中国,86
324,新特汽车,中国,86
323,拉共达,英国,44
322,Cupra,西班牙,34
321,Corbellati,意大利,39
320,LEVC,英国,44
319,捷途,中国,86
318,零跑汽车,中国,86
317,云雀汽车,中国,86
316,绿驰,中国,86
315,Jannarelly,阿拉伯联合酋长国,971
313,广汽新能源,中国,86
312,庆铃汽车,中国,86
310,Aria,美国,1
309,合众新能源,中国,86
308,Polestar,瑞典,46
307,裕路,中国,86
306,鑫源,中国,86
305,宝腾汽车,马来西亚,60
304,国金汽车,中国,86
303,ATS,意大利,39
302,拜腾,中国,86
301,北汽道达,中国,86
299,长安跨越,中国,86
298,宇通客车,中国,86
297,君马汽车,中国,86
296,瑞驰新能源,中国,86
295,NEVS,中国,86
294,长安轻型车,中国,86
293,昶洧,中国,86
292,Agile Automotive,丹麦,45
291,威马汽车,中国,86
290,正道汽车,中国,86
289,祺智,中国,86
288,Italdesign,意大利,39
287,Vanda Electric,新加坡,65
286,云度,中国,86
285,Lucid,美国,1
284,蔚来,中国,86
283,WEY,中国,86
282,福田乘用车,中国,86
281,奇点汽车,中国,86
280,电咖,中国,86
279,领克,中国,86
277,GLM,日本,81
276,ALPINA,德国,49
275,小鹏汽车,中国,86
274,Inferno,墨西哥,52
273,艾康尼克,中国,86
272,ARCFOX,中国,86
271,比速汽车,中国,86
270,江铃集团新能源,中国,86
269,SWM斯威汽车,中国,86
268,Mazzanti,意大利,39
267,汉腾汽车,中国,86
266,车和家,中国,86
265,LeSEE,中国,86
264,长江EV,中国,86
263,驭胜,中国,86
261,雷诺三星,韩国,82
260,华泰新能源,中国,86
259,东风风光,中国,86
258,SIN CARS,德国,49
257,宾尼法利纳,意大利,39
255,泰克鲁斯·腾风,中国,86
254,Radical,英国,44
253,Apollo,德国,49
252,Rimac,克罗地亚,383
251,Arash,英国,44
250,Mahindra,印度,91
249,VLF Automotive,美国,1
248,Faraday Future,美国,1
247,YAMAHA,日本,81
245,华凯,中国,86
244,拉达,俄罗斯,7
243,游侠,中国,86
242,欧联,中国,86
241,LOCAL MOTORS,美国,1
240,霍顿,澳大利亚,61
239,Rezvani,美国,1
238,斯达泰克,英国,44
237,华利,中国,86
236,TOROIDION,芬兰,358
235,前途,中国,86
234,Donkervoort,荷兰,31
233,W Motors,阿拉伯联合酋长国,971
232,御捷,中国,86
231,宝沃,德国,49
230,GTA,西班牙,34
229,MAGNA,加拿大,9001
228,nanoFLOWCELL,列支敦士登,423
227,RENOVO,美国,1
226,斯太尔,奥地利,43
225,领志,中国,86
224,卡升,中国,86
222,乔治·巴顿,美国,1
221,安凯客车,中国,86
220,华颂,中国,86
219,康迪全球鹰,中国,86
217,Datsun,日本,81
215,雷丁,中国,86
214,凯翼,中国,86
213,南京金龙,中国,86
211,Elemental,英国,44
210,江铃集团轻汽,中国,86
209,佳跃,中国,86
208,北汽新能源,中国,86
207,谷歌,美国,1
206,知豆,中国,86
205,赛麟,美国,1
204,陆地方舟,中国,86
203,北汽幻速,中国,86
202,泰卡特,德国,49
200,塔塔,印度,91
199,卡威,中国,86
198,DMC,美国,1
197,福汽启腾,中国,86
196,成功汽车,中国,86
193,Rinspeed,瑞士,41
192,潍柴英致,中国,86
191,开利,中国,86
190,GAZ,俄罗斯,7
189,Caterham,英国,44
188,Icona,意大利,39
187,东风风度,中国,86
186,佩奇奥,法国,33
185,新凯,中国,86
184,华骐,中国,86
183,朗世,中国,86
182,之诺,中国,86
181,哈弗,中国,86
180,BAC,英国,44
178,上海,中国,86
177,FM Auto,意大利,39
176,弗那萨利,意大利,39
175,金旅,中国,86
174,如虎,德国,49
173,北汽绅宝,中国,86
172,保斐利,澳大利亚,61
171,Conquest,加拿大,9001
170,Hennessey,美国,1
169,DS,法国,33
168,摩根,英国,44
167,五十铃,日本,81
165,东风风行,中国,86
164,恒天,中国,86
163,长安欧尚,中国,86
162,思铭,日本,81
161,腾势,中国,86
159,沃克斯豪尔,英国,44
157,Dacia,罗马尼亚,40
156,卡尔森,德国,49
155,上汽大通,中国,86
154,北汽制造,中国,86
153,Zenvo,丹麦,45
152,观致,中国,86
151,九龙,中国,86
150,海格,中国,86
149,陕汽通家,中国,86
147,首望,中国,86
146,欧朗,中国,86
145,金龙,中国,86
144,依维柯,意大利,39
143,北汽威旺,中国,86
142,东风小康,中国,86
141,福迪,中国,86
140,巴博斯,德国,49
139,凯佰赫,俄罗斯,7
138,SSC,美国,1
137,Scion,日本,81
136,Noble,英国,44
135,TVR,英国,44
134,ABT,德国,49
133,特斯拉,美国,1
132,Fisker,美国,1
130,纳智捷,中国,86
129,迈凯伦,英国,44
127,SPIRRA,韩国,82
125,Tramontana,西班牙,34
124,理念,中国,86
122,启辰,中国,86
121,蓝旗亚,意大利,39
120,宝骏,中国,86
119,江铃,中国,86
118,Lorinser,德国,49
117,AC Schnitzer,德国,49
116,光冈,日本,81
115,Gumpert,德国,49
114,五菱汽车,中国,86
113,东风风神,中国,86
112,GMC,美国,1
111,野马汽车,中国,86
110,一汽,中国,86
109,KTM,奥地利,43
108,广汽吉奥,中国,86
103,瑞麒,中国,86
102,威麟,中国,86
101,开瑞,中国,86
100,科尼赛克,瑞典,46
99,威兹曼,德国,49
98,西雅特,西班牙,34
97,黄海,中国,86
96,福田,中国,86
95,奔腾,中国,86
94,众泰,中国,86
93,永源,中国,86
92,大发,日本,81
91,红旗,中国,86
90,双环,中国,86
89,莲花汽车,中国,86
88,陆风,中国,86
87,华泰,中国,86
86,海马,中国,86
85,华普,中国,86
84,江淮,中国,86
83,金杯,中国,86
82,广汽传祺,中国,86
81,东南,中国,86
80,力帆汽车,中国,86
79,昌河,中国,86
78,猎豹汽车,中国,86
77,长城,中国,86
76,长安,中国,86
75,比亚迪,中国,86
74,中兴,中国,86
73,英菲尼迪,日本,81
72,雪铁龙,法国,33
71,雪佛兰,美国,1
70,沃尔沃,瑞典,46
69,双龙,韩国,82
68,三菱,日本,81
67,斯柯达,捷克,420
66,世爵,荷兰,31
65,斯巴鲁,日本,81
64,萨博,瑞典,46
63,日产,日本,81
62,起亚,韩国,82
61,帕加尼,意大利,39
60,讴歌,日本,81
