styleName,styleNamePinYin,styleNameShorthand
2020款 智联版 1.5T 自动两驱都市型,2020kuan zhilianban 1.5t zidongliangqudushixing,2020k zlb 1.5t zdlqdsx
2020款 智联版 1.5T 手动两驱都市型,2020kuan zhilianban 1.5t shoudongliangqudushixing,2020k zlb 1.5t sdlqdsx
2020款 质享版 1.5L 手动都市版,2020kuan zhixiangban 1.5l shoudongdushiban,2020k zxb 1.5l sddsb
2020款 质享版 1.5L CVT都市版,2020kuan zhixiangban 1.5l cvtdushiban,2020k zxb 1.5l cvtdsb
2020款 长续航型 41KWh,2020kuan changxuhangxing 41kwh,2020k cxhx 41kwh
2020款 长续航全驱版 Premium,2020kuan changxuhangquanquban premium,2020k cxhqqb premium
2020款 长续航全驱版 First Edition,2020kuan changxuhangquanquban first edition,2020k cxhqqb first edition
2020款 长续航 430v 变形金刚特装,2020kuan changxuhang 430v bianxingjingangtezhuang,2020k cxh 430v bxjgtz
2020款 长续航 430v,2020kuan changxuhang 430v,2020k cxh 430v
2020款 长续航 430s,2020kuan changxuhang 430s,2020k cxh 430s
2020款 长续航 430i 变形金刚特装,2020kuan changxuhang 430i bianxingjingangtezhuang,2020k cxh 430i bxjgtz
2020款 长续航 430i,2020kuan changxuhang 430i,2020k cxh 430i
2020款 长续航 430e 变形金刚特装,2020kuan changxuhang 430e bianxingjingangtezhuang,2020k cxh 430e bxjgtz
2020款 长续航 430e,2020kuan changxuhang 430e,2020k cxh 430e
2020款 乐享版 1.5T 手动劲,2020kuan lexiangban 1.5t shoudongjin,2020k lxb 1.5t sdj
2020款 乐享版 1.5T DCT劲,2020kuan lexiangban 1.5t dctjin,2020k lxb 1.5t dctj
2020款 劲擎版,2020kuan jinqingban,2020k jqb
2020款 后驱长续航版,2020kuan houquchangxuhangban,2020k hqcxhb
2020款 后驱超长续航版,2020kuan houquchaochangxuhangban,2020k hqccxhb
2020款 改款 长续航 430v,2020kuan gaikuan changxuhang 430v,2020k gk cxh 430v
2020款 EcoBoost 180 自动劲耀型,2020kuan ecoboost 180 zidongjinyaoxing,2020k ecoboost 180 zdjyx
2020款 EcoBoost 180 自动劲潮型,2020kuan ecoboost 180 zidongjinchaoxing,2020k ecoboost 180 zdjcx
2020款 520长续航 尊享版,2020kuan 520changxuhang zunxiangban,2020k 520cxh zxb
2020款 520长续航 智享版,2020kuan 520changxuhang zhixiangban,2020k 520cxh zxb
2020款 520长续航 悦享版,2020kuan 520changxuhang yuexiangban,2020k 520cxh yxb
2020款 5.0 V8 SC SVA巅峰创世加长版,2020kuan 5.0 v8 sc svadianfengchuangshijiachangban,2020k 5.0 v8 sc svadfcsjcb
2020款 5.0 V8 SC 50周年SV典藏版,2020kuan 5.0 v8 sc 50zhouniansvdiancangban,2020k 5.0 v8 sc 50znsvdcb
2020款 3.0T自动运瑞手动门长轴高顶F1C,2020kuan 3.0tzidongyunruishoudongmenchangzhougaodingf1c,2020k 3.0tzdyrsdmczgdf1c
2020款 3.0T自动运瑞手动门加长轴双排高顶F1C,2020kuan 3.0tzidongyunruishoudongmenjiachangzhoushuangpaigaodingf1c,2020k 3.0tzdyrsdmjczspgdf1c
2020款 3.0T自动运瑞手动门加长轴单排高顶F1C,2020kuan 3.0tzidongyunruishoudongmenjiachangzhoudanpaigaodingf1c,2020k 3.0tzdyrsdmjczdpgdf1c
2020款 3.0T自动商瑞手动门长轴高顶14座F1C,2020kuan 3.0tzidongshangruishoudongmenchangzhougaoding14zuof1c,2020k 3.0tzdsrsdmczgd14zf1c
2020款 3.0T自动商瑞手动门加长轴高顶20座F1C,2020kuan 3.0tzidongshangruishoudongmenjiachangzhougaoding20zuof1c,2020k 3.0tzdsrsdmjczgd20zf1c
2020款 3.0T自动商瑞电动门长轴高顶13座F1C,2020kuan 3.0tzidongshangruidiandongmenchangzhougaoding13zuof1c,2020k 3.0tzdsrddmczgd13zf1c
2020款 3.0T自动商瑞电动门加长轴高顶19座F1C,2020kuan 3.0tzidongshangruidiandongmenjiachangzhougaoding19zuof1c,2020k 3.0tzdsrddmjczgd19zf1c
2020款 3.0T自动超瑞长轴短悬高顶F1C,2020kuan 3.0tzidongchaoruichangzhouduanxuangaodingf1c,2020k 3.0tzdcrczdxgdf1c
2020款 3.0T自动7吨底盘长轴单排F1C,2020kuan 3.0tzidong7dundipanchangzhoudanpaif1c,2020k 3.0tzd7ddpczdpf1c
2020款 3.0T自动7吨底盘超长轴单排F1C,2020kuan 3.0tzidong7dundipanchaochangzhoudanpaif1c,2020k 3.0tzd7ddpcczdpf1c
2020款 3.0T自动6吨底盘加长轴双排F1C,2020kuan 3.0tzidong6dundipanjiachangzhoushuangpaif1c,2020k 3.0tzd6ddpjczspf1c
2020款 3.0T自动6吨底盘加长轴单排F1C,2020kuan 3.0tzidong6dundipanjiachangzhoudanpaif1c,2020k 3.0tzd6ddpjczdpf1c
2020款 3.0T自动4.5吨底盘长轴双排F1C,2020kuan 3.0tzidong4.5dundipanchangzhoushuangpaif1c,2020k 3.0tzd4.5ddpczspf1c
2020款 3.0T自动4.5吨底盘长轴单排F1C,2020kuan 3.0tzidong4.5dundipanchangzhoudanpaif1c,2020k 3.0tzd4.5ddpczdpf1c
2020款 3.0T手动运瑞手动门长轴高顶F1C,2020kuan 3.0tshoudongyunruishoudongmenchangzhougaodingf1c,2020k 3.0tsdyrsdmczgdf1c
2020款 3.0T手动运瑞手动门长轴短悬高顶F1C,2020kuan 3.0tshoudongyunruishoudongmenchangzhouduanxuangaodingf1c,2020k 3.0tsdyrsdmczdxgdf1c
2020款 3.0T手动运瑞手动门加长轴双排高顶F1C,2020kuan 3.0tshoudongyunruishoudongmenjiachangzhoushuangpaigaodingf1c,2020k 3.0tsdyrsdmjczspgdf1c
2020款 3.0T手动运瑞手动门加长轴单排高顶F1C,2020kuan 3.0tshoudongyunruishoudongmenjiachangzhoudanpaigaodingf1c,2020k 3.0tsdyrsdmjczdpgdf1c
2020款 3.0T手动商瑞手动门长轴高顶14座F1C,2020kuan 3.0tshoudongshangruishoudongmenchangzhougaoding14zuof1c,2020k 3.0tsdsrsdmczgd14zf1c
2020款 3.0T手动商瑞手动门长轴短悬高顶14座F1C,2020kuan 3.0tshoudongshangruishoudongmenchangzhouduanxuangaoding14zuof1c,2020k 3.0tsdsrsdmczdxgd14zf1c
2020款 3.0T手动商瑞手动门加长轴高顶20座F1C,2020kuan 3.0tshoudongshangruishoudongmenjiachangzhougaoding20zuof1c,2020k 3.0tsdsrsdmjczgd20zf1c
2020款 3.0T手动商瑞电动门长轴高顶13座F1C,2020kuan 3.0tshoudongshangruidiandongmenchangzhougaoding13zuof1c,2020k 3.0tsdsrddmczgd13zf1c
2020款 3.0T手动商瑞电动门加长轴高顶19座F1C,2020kuan 3.0tshoudongshangruidiandongmenjiachangzhougaoding19zuof1c,2020k 3.0tsdsrddmjczgd19zf1c
2020款 3.0T手动超瑞长轴短悬高顶F1C,2020kuan 3.0tshoudongchaoruichangzhouduanxuangaodingf1c,2020k 3.0tsdcrczdxgdf1c
2020款 3.0T手动7吨底盘长轴单排F1C,2020kuan 3.0tshoudong7dundipanchangzhoudanpaif1c,2020k 3.0tsd7ddpczdpf1c
2020款 3.0T手动7吨底盘超长轴单排F1C,2020kuan 3.0tshoudong7dundipanchaochangzhoudanpaif1c,2020k 3.0tsd7ddpcczdpf1c
2020款 3.0T手动6吨底盘加长轴双排F1C,2020kuan 3.0tshoudong6dundipanjiachangzhoushuangpaif1c,2020k 3.0tsd6ddpjczspf1c
2020款 3.0T手动6吨底盘加长轴单排F1C,2020kuan 3.0tshoudong6dundipanjiachangzhoudanpaif1c,2020k 3.0tsd6ddpjczdpf1c
2020款 3.0T手动4.5吨底盘长轴双排F1C,2020kuan 3.0tshoudong4.5dundipanchangzhoushuangpaif1c,2020k 3.0tsd4.5ddpczspf1c
2020款 3.0T手动4.5吨底盘长轴单排F1C,2020kuan 3.0tshoudong4.5dundipanchangzhoudanpaif1c,2020k 3.0tsd4.5ddpczdpf1c
2020款 3.0 L6 尊崇创世加长版,2020kuan 3.0 l6 zunchongchuangshijiachangban,2020k 3.0 l6 zccsjcb
2020款 3.0 L6 传世加长版,2020kuan 3.0 l6 chuanshijiachangban,2020k 3.0 l6 csjcb
2020款 2.5T柴油四驱豪华版国V额载675长轴JE4D25Q5A,2020kuan 2.5tchaiyousiquhaohuabanguovezai675changzhouje4d25q5a,2020k 2.5tcysqhhbgvez675czje4d25q5a
2020款 2.5T柴油四驱豪华版国V额载495长轴JE4D25Q5A,2020kuan 2.5tchaiyousiquhaohuabanguovezai495changzhouje4d25q5a,2020k 2.5tcysqhhbgvez495czje4d25q5a
2020款 2.5T柴油四驱豪华版国VI额载675长轴JE4D25Q6A,2020kuan 2.5tchaiyousiquhaohuabanguoviezai675changzhouje4d25q6a,2020k 2.5tcysqhhbgviez675czje4d25q6a
2020款 2.5T柴油四驱豪华版国VI额载495长轴JE4D25Q6A,2020kuan 2.5tchaiyousiquhaohuabanguoviezai495changzhouje4d25q6a,2020k 2.5tcysqhhbgviez495czje4d25q6a
2020款 2.5T柴油四驱行政版国V额载675长轴JE4D25Q5A,2020kuan 2.5tchaiyousiquxingzhengbanguovezai675changzhouje4d25q5a,2020k 2.5tcysqxzbgvez675czje4d25q5a
2020款 2.5T柴油四驱行政版国V额载495长轴JE4D25Q5A,2020kuan 2.5tchaiyousiquxingzhengbanguovezai495changzhouje4d25q5a,2020k 2.5tcysqxzbgvez495czje4d25q5a
2020款 2.5T柴油四驱行政版国VI额载675长轴JE4D25Q6A,2020kuan 2.5tchaiyousiquxingzhengbanguoviezai675changzhouje4d25q6a,2020k 2.5tcysqxzbgviez675czje4d25q6a
2020款 2.5T柴油四驱行政版国VI额载495长轴JE4D25Q6A,2020kuan 2.5tchaiyousiquxingzhengbanguoviezai495changzhouje4d25q6a,2020k 2.5tcysqxzbgviez495czje4d25q6a
2020款 2.5T柴油四驱标准版国V额载675长轴JE4D25Q5A,2020kuan 2.5tchaiyousiqubiaozhunbanguovezai675changzhouje4d25q5a,2020k 2.5tcysqbzbgvez675czje4d25q5a
2020款 2.5T柴油四驱标准版国V额载495长轴JE4D25Q5A,2020kuan 2.5tchaiyousiqubiaozhunbanguovezai495changzhouje4d25q5a,2020k 2.5tcysqbzbgvez495czje4d25q5a
2020款 2.5T柴油四驱标准版国VI额载675长轴JE4D25Q6A,2020kuan 2.5tchaiyousiqubiaozhunbanguoviezai675changzhouje4d25q6a,2020k 2.5tcysqbzbgviez675czje4d25q6a
2020款 2.5T柴油四驱标准版国VI额载495长轴JE4D25Q6A,2020kuan 2.5tchaiyousiqubiaozhunbanguoviezai495changzhouje4d25q6a,2020k 2.5tcysqbzbgviez495czje4d25q6a
2020款 2.5T柴油两驱豪华版国V额载675长轴JE4D25Q5A,2020kuan 2.5tchaiyouliangquhaohuabanguovezai675changzhouje4d25q5a,2020k 2.5tcylqhhbgvez675czje4d25q5a
2020款 2.5T柴油两驱豪华版国V额载495长轴JE4D25Q5A,2020kuan 2.5tchaiyouliangquhaohuabanguovezai495changzhouje4d25q5a,2020k 2.5tcylqhhbgvez495czje4d25q5a
2020款 2.5T柴油两驱豪华版国VI额载675长轴JE4D25Q6A,2020kuan 2.5tchaiyouliangquhaohuabanguoviezai675changzhouje4d25q6a,2020k 2.5tcylqhhbgviez675czje4d25q6a
2020款 2.5T柴油两驱豪华版国VI额载495长轴JE4D25Q6A,2020kuan 2.5tchaiyouliangquhaohuabanguoviezai495changzhouje4d25q6a,2020k 2.5tcylqhhbgviez495czje4d25q6a
2020款 2.5T柴油两驱行政版国V额载675长轴JE4D25Q5A,2020kuan 2.5tchaiyouliangquxingzhengbanguovezai675changzhouje4d25q5a,2020k 2.5tcylqxzbgvez675czje4d25q5a
2020款 2.5T柴油两驱行政版国V额载495长轴JE4D25Q5A,2020kuan 2.5tchaiyouliangquxingzhengbanguovezai495changzhouje4d25q5a,2020k 2.5tcylqxzbgvez495czje4d25q5a
2020款 2.5T柴油两驱行政版国VI额载675长轴JE4D25Q6A,2020kuan 2.5tchaiyouliangquxingzhengbanguoviezai675changzhouje4d25q6a,2020k 2.5tcylqxzbgviez675czje4d25q6a
2020款 2.5T柴油两驱行政版国VI额载495长轴JE4D25Q6A,2020kuan 2.5tchaiyouliangquxingzhengbanguoviezai495changzhouje4d25q6a,2020k 2.5tcylqxzbgviez495czje4d25q6a
2020款 2.5T柴油两驱标准版国V额载675长轴JE4D25Q5A,2020kuan 2.5tchaiyouliangqubiaozhunbanguovezai675changzhouje4d25q5a,2020k 2.5tcylqbzbgvez675czje4d25q5a
2020款 2.5T柴油两驱标准版国V额载495长轴JE4D25Q5A,2020kuan 2.5tchaiyouliangqubiaozhunbanguovezai495changzhouje4d25q5a,2020k 2.5tcylqbzbgvez495czje4d25q5a
2020款 2.5T柴油两驱标准版国VI额载675长轴JE4D25Q6A,2020kuan 2.5tchaiyouliangqubiaozhunbanguoviezai675changzhouje4d25q6a,2020k 2.5tcylqbzbgviez675czje4d25q6a
2020款 2.5T柴油两驱标准版国VI额载495长轴JE4D25Q6A,2020kuan 2.5tchaiyouliangqubiaozhunbanguoviezai495changzhouje4d25q6a,2020k 2.5tcylqbzbgviez495czje4d25q6a
2020款 2.4L手动四驱汽油标准型国VI长货箱2TZD,2020kuan 2.4lshoudongsiquqiyoubiaozhunxingguovichanghuoxiang2tzd,2020k 2.4lsdsqqybzxgvichx2tzd
2020款 2.4L手动两驱汽油豪华型国VI长货箱2TZD,2020kuan 2.4lshoudongliangquqiyouhaohuaxingguovichanghuoxiang2tzd,2020k 2.4lsdlqqyhhxgvichx2tzd
2020款 2.4L手动两驱汽油标准型国VI长货箱2TZD,2020kuan 2.4lshoudongliangquqiyoubiaozhunxingguovichanghuoxiang2tzd,2020k 2.4lsdlqqybzxgvichx2tzd
2020款 2.4L手动豪华型长轴9座2TZS,2020kuan 2.4lshoudonghaohuaxingchangzhou9zuo2tzs,2020k 2.4lsdhhxcz9z2tzs
2020款 2.4L手动标准型长轴9座2TZS,2020kuan 2.4lshoudongbiaozhunxingchangzhou9zuo2tzs,2020k 2.4lsdbzxcz9z2tzs
2020款 2.4L商运版长轴高顶6座商务车国VI 4K22D4M,2020kuan 2.4lshangyunbanchangzhougaoding6zuoshangwucheguovi 4k22d4m,2020k 2.4lsybczgd6zswcgvi 4k22d4m
2020款 2.4L商运版长轴高顶5座厢货国VI 4K22D4M,2020kuan 2.4lshangyunbanchangzhougaoding5zuoxianghuoguovi 4k22d4m,2020k 2.4lsybczgd5zxhgvi 4k22d4m
