styleID,modelID
1,1932
3,1796
7,1560
8,1560
9,1560
10,1560
11,1561
12,1561
13,1561
14,1562
15,1562
16,1562
17,1562
18,1562
19,1562
20,1562
21,1562
22,1562
23,1562
24,1562
25,1563
26,1563
27,1563
28,1563
29,1563
30,1563
31,1566
32,1566
33,1565
34,1565
35,1565
36,1565
37,1565
38,1564
39,1567
40,1567
41,4399
44,4399
46,4399
47,4399
48,4399
49,1569
50,1569
51,1569
52,1569
53,1569
54,1569
55,1569
56,1569
57,1569
58,1569
59,1569
60,1569
61,1569
62,1569
63,1569
64,1569
65,1569
73,1574
76,1575
77,1575
78,1575
80,1575
84,1582
85,1582
86,1582
87,1582
88,1582
89,1582
90,1582
91,1582
92,1582
93,1582
94,1577
95,1577
96,2199
97,1578
98,1578
99,1578
100,1578
101,1578
102,1578
103,1578
104,1578
105,1579
106,1580
107,1580
108,1580
109,1580
110,1581
111,1581
112,1581
113,1581
114,1583
115,1583
116,1583
117,1584
118,1584
119,1584
120,1584
121,1584
133,1586
134,1586
135,1586
136,1586
137,1586
138,1586
139,1586
140,1587
141,1587
142,1587
143,1587
144,1587
145,1587
146,1587
147,1587
148,1587
149,1587
150,1587
151,1587
152,1587
153,1587
154,1587
155,1587
156,1587
157,1591
158,1591
159,1591
160,1591
161,1592
162,1592
163,1592
164,1592
165,1592
166,1592
167,1592
168,1592
169,1592
170,1592
171,1592
172,1592
173,1592
174,1592
175,1592
176,1592
177,1594
178,1594
179,1594
180,1594
181,1594
182,1594
183,1594
184,1594
185,1594
186,1594
187,1594
188,1594
189,1596
190,1596
192,1596
193,1596
194,1599
195,1599
196,1599
197,1599
198,1599
199,1599
200,1599
201,1599
202,1599
203,1599
204,1599
205,1599
206,1597
207,1597
208,1597
209,1597
210,1597
211,1597
212,1597
245,2266
246,2266
247,2266
248,2266
249,2266
250,2266
251,2266
252,2266
253,2266
254,2266
255,1608
256,1608
257,1608
258,1608
259,1590
260,1590
261,1590
262,1590
263,1590
264,1590
265,1590
266,1610
267,1610
268,1610
269,1610
270,1610
271,1610
272,1610
273,1610
274,1610
275,1610
276,1610
277,1610
278,1610
279,1610
280,1610
281,1610
282,1610
283,1610
284,1610
285,1610
286,2627
287,2627
288,2627
289,2627
290,2627
291,2627
292,2627
293,2627
294,2627
295,2627
296,2627
297,2627
298,2627
299,2627
300,2273
301,2273
302,2273
303,2273
304,2273
305,2273
306,2273
307,2273
308,2273
309,2273
310,2273
311,2273
312,2273
313,2273
321,1614
322,1614
323,1603
324,1603
325,1610
326,1604
327,1604
328,2713
329,2713
330,2713
331,2713
333,1618
334,1618
335,1618
336,1618
337,1618
338,1618
339,1618
340,1618
341,1618
342,1618
343,1618
344,1618
345,1618
346,1617
347,1617
348,1617
349,1617
350,1617
352,1605
353,1605
354,1605
355,1605
356,1605
357,1605
358,1605
359,1605
361,1605
362,1605
363,1634
364,1634
365,1634
366,1634
367,1634
368,1634
369,1634
374,1634
377,1627
378,1627
379,1627
380,1627
381,1627
382,1627
383,1627
384,1628
385,1628
386,1628
387,1628
388,1628
389,1628
390,1628
391,1628
392,1628
443,1634
444,1634
445,1634
446,1634
447,1634
448,1978
449,1978
450,1978
451,1978
452,1978
453,1978
454,1633
455,1633
456,1633
457,1633
458,1633
459,1634
460,1634
461,1634
462,1634
463,1634
465,1634
466,1634
467,1634
468,1634
469,1634
470,1634
471,1647
472,1647
473,1647
474,1647
475,1647
476,1647
477,1647
478,1647
479,1647
480,1647
481,1647
482,1647
483,1647
484,1647
485,1642
486,1642
487,1642
488,1642
489,1642
490,1642
491,1642
492,1642
493,1642
494,1642
505,1635
506,1635
507,1635
508,1635
509,1635
510,1635
511,1635
512,1635
513,1635
514,1635
515,1635
516,1635
517,1635
518,1635
519,1635
520,1635
521,1635
522,1635
523,1635
524,1635
525,1635
526,1635
527,1635
533,1641
534,1641
535,1648
536,1648
537,1648
539,1648
540,1648
541,1648
542,1648
543,1648
544,1648
546,1648
547,1648
548,1648
549,1648
560,1570
561,1570
562,1570
563,1570
564,1570
567,1655
569,1655
574,1655
575,1655
580,1657
581,1657
582,1657
583,1657
584,1657
585,1657
586,1657
587,1657
588,1657
589,1657
590,1657
591,1657
592,1657
601,1659
611,1660
612,1660
613,1660
614,1660
615,1660
616,1660
617,1660
622,1661
623,1661
624,1661
625,1661
626,1661
627,1661
628,2057
629,2057
630,2057
631,2057
632,2057
633,2057
634,2057
635,2057
636,2057
637,2057
638,2057
639,2057
640,2057
659,2057
672,2057
673,2057
674,2057
690,2384
691,2384
692,2384
693,2384
694,2384
695,2384
696,2384
697,2384
698,2384
699,2384
700,2384
701,2384
702,2384
705,2384
709,2384
710,2384
722,1670
723,1670
724,1670
725,1670
728,1671
729,1671
730,1671
731,1671
732,1671
733,1671
738,4046
739,4046
740,4046
744,4046
753,1673
754,1673
755,1673
756,1673
757,1673
758,1673
759,1673
760,1673
761,1673
762,1673
763,1673
764,1673
765,1673
766,1673
767,1673
768,1673
769,1673
770,1673
771,1673
772,1673
773,1673
776,1673
777,1674
778,1674
779,1674
780,1674
781,1674
789,1676
790,1676
791,1676
792,1676
793,1676
794,1676
795,1676
796,1676
797,1676
798,1676
799,1676
800,1676
801,1676
802,1676
803,1676
804,1676
805,1676
806,1676
807,1677
808,1677
810,1681
811,1681
812,1681
813,1681
814,1681
815,1681
816,1681
817,1681
818,1681
819,1682
820,1682
821,1682
822,1682
823,1682
824,1682
825,1682
826,1682
827,1682
828,1682
829,1682
830,1682
831,1682
832,1682
833,1682
834,1683
835,1683
836,1683
837,1681
838,1683
839,1683
840,1683
841,1683
842,1683
843,1683
844,1683
845,1683
846,1683
847,1683
848,1683
849,1684
851,1684
854,1678
860,1685
861,1685
862,1685
863,1685
864,1685
