userLevelName,userLevelID,userLevelType
财务理财,10001,110
日常生活,10002,110
商业工作,10003,110
手机工具,10004,110
信息资讯,10005,110
休闲娱乐,10006,110
学习教育,10007,110
电子钱包,20001,120
银行类,20002,120
贷款,20003,120
理财,20004,120
手机赚钱,20005,120
出行方式,20006,120
车主服务,20007,120
地图导航,20008,120
天气/空气,20009,120
网购,20010,120
居住,20011,120
运动健康,20012,120
记账/备忘,20013,120
生活服务平台,20014,120
其他日常生活,20015,120
个体商户,20016,120
企业办公,20017,120
求职招聘,20018,120
职业考试,20019,120
其他商业工作,20020,120
办公软件,20021,120
个性化工具,20022,120
上网工具,20023,120
数据存储传输,20024,120
通讯,20025,120
系统工具,20026,120
其他手机工具,20027,120
信息资讯,20028,120
社交,20029,120
影音,20030,120
游戏,20031,120
旅游,20032,120
照片/视频处理,20033,120
阅读,20034,120
其他休闲娱乐,20035,120
追星,20036,120
子女教育,20037,120
个人提升,20038,120
电子钱包,30001,130
银行,30002,130
信用卡,30003,130
贷款,30004,130
保险,30005,130
基金,30006,130
股票证券,30007,130
互联网理财/P2P,30008,130
期货/贵金属/外汇,30009,130
邮票钱币,30010,130
综合理财服务,30011,130
试玩/任务返利,30012,130
抢红包,30013,130
公交车/地铁,30014,130
共享单车,30015,130
共享汽车,30016,130
飞机,30017,130
火车,30018,130
网约车,30019,130
租车,30020,130
违章/交管,30021,130
用车/养车,30022,130
地图导航,30023,130
天气/空气,30024,130
3C电商,30025,130
二手交易,30026,130
海淘,30027,130
酒类电商,30028,130
母婴电商,30029,130
女性电商,30030,130
生活超市/生鲜,30031,130
团购,30032,130
折扣/返利电商,30033,130
综合电商平台,30034,130
其他电商,30035,130
房屋租赁买卖,30036,130
装修装饰,30037,130
智能家居,30038,130
医疗医药,30039,130
健康监测,30040,130
运动健身,30041,130
记账,30042,130
日历/备忘,30043,130
生活服务平台,30044,130
叫快递,30045,130
购票,30046,130
外卖,30047,130
女性助手,30048,130
美食菜谱,30049,130
彩票/夺宝,30050,130
其他生活服务,30051,130
配送/物流/货运,30052,130
商家平台,30053,130
网约车司机/代驾,30054,130
企业办公,30055,130
求职招聘,30056,130
工程建造,30057,130
公务员,30058,130
会计,30059,130
司法考试,30060,130
医师药师,30061,130
其他职业考试,30062,130
兼职,30063,130
酒店,30064,130
兼职/酒店以外的工作,30065,130
办公软件,30066,130
桌面主题,30067,130
铃声,30068,130
WIFI工具,30069,130
流量工具,30070,130
传输,30071,130
邮箱,30072,130
云服务,30073,130
通话助手,30074,130
网络电话,30075,130
运营商营业厅,30076,130
手机助手,30077,130
输入法,30078,130
安全及系统优化,30079,130
其他系统工具,30080,130
应用商店,30081,130
其他手机工具,30082,130
信息导航,30083,130
IT资讯,30084,130
财经资讯,30085,130
汽车资讯,30086,130
时政军事,30087,130
体育资讯,30088,130
综合资讯平台,30089,130
即时通讯,30090,130
熟人社交网络,30091,130
论坛,30092,130
微博/博客,30093,130
陌生人社交,30094,130
相亲交友,30095,130
视频,30096,130
音乐,30097,130
网络电台,30098,130
直播,30099,130
短视频,30100,130
K歌,30101,130
角色扮演,30102,130
解谜逃脱,30103,130
竞技对战,30104,130
竞速类,30105,130
棋牌类,30106,130
球类运动,30107,130
休闲益智,30108,130
游戏大厅,30109,130
其他游戏,30110,130
旅游,30111,130
美拍美图,30112,130
视频剪辑,30113,130
图书/网络小说,30114,130
动漫/漫画,30115,130
乐器弹奏,30116,130
美女图库,30117,130
星座占卜,30118,130
搞笑幽默,30119,130
书法,30120,130
追星,30121,130
校讯通,30122,130
婴幼儿孕育,30123,130
学龄前早教,30124,130
中小学教育,30125,130
驾考,30126,130
考研,30127,130
汉语,30128,130
外语,30129,130
综合学习平台,30130,130
其他学习,30131,130
党建学习,30132,130
