key,value
发现|路虎,发现
a6|进口,奥迪A6(进口)
718|保时捷,保时捷718
508|标致,标致508
310|宝骏,宝骏310
4008|标致,标致4008
lx|雷克萨斯,雷克萨斯LX
is|雷克萨斯,雷克萨斯IS
gl|帝豪,帝豪GL
秦|比亚迪,秦
212|北京,BJ 212
301|标致,标致301
308|标致,标致308
370|东风风光,东风风光370
408|标致,标致408
508|标致,标致508
510|宝骏,宝骏510
560|宝骏,宝骏560
580|东风风光,东风风光580
727|英致,英致727
737|英致,英致737
911|保时捷,保时捷911
3008|标致,标致3008
4008|标致,标致4008
5008|标致,标致5008
coupe|玛莎拉蒂,Coupe
urban|本田,本田Urban
urban|奥迪,奥迪Urban
urban|crossover,Urban Crossover
urban|luxury,Urban Luxury
urban|utility,Urban Utility
duster|雷诺,雷诺Duster
duster|dacia,Dacia Duster
duster|oroch,Duster Oroch
duster|detour,Duster Detour
roadster|摩根,摩根Roadster
roadster|威兹曼,威兹曼Roadster
roadster|smart,smart roadster
roadster|mini,MINI ROADSTER
roadster|特斯拉,Roadster
f50|金杯,金杯F50
f50|神骐,神骐F50
f50|法拉利,法拉利F50
cascada|别克,别克Cascada
cascada|沃克斯豪尔,沃克斯豪尔Cascada
cascada|欧宝,欧宝Cascada
fcv|丰田,丰田FCV
fcv|本田,本田FCV
adam|欧宝,欧宝Adam
adam|沃克斯豪尔,沃克斯豪尔Adam
nsx|本田,本田NSX
nsx|讴歌,讴歌NSX
ct5|凯迪拉克,凯迪拉克CT5
ct5|猎豹,猎豹CT5
atlas|大众,大众Atlas
atlas|福特,福特Atlas
granturismo|玛莎拉蒂,GranTurismo
granturismo|英菲尼迪,英菲尼迪GranTurismo
