modelID,modelName,brandID,brandName,levelID,levelName,nation,haveOnSale,kouBeiNumOnSale,kouBeiNumHaltSale,mainBrandID,mainBrandName,categoryID,categoryName,nationID,powerID,powerName,powerCategoryID,powerCategoryName,minGuidePrice,maxGuidePrice,isCrawl,isCalc,isShow,isDelete,ventureID,ventureName,brandLevelID,brandLevelName
4962,亚洲龙,40,一汽丰田,b,中型车,日本,1,0,0,3,丰田,1,轿车,81,11,汽油动力,1,燃油动力,19.98,28.98,1,1,1,2,1,合资,1,非豪华
3632,标致308S,38,东风标致,a,紧凑型车,法国,0,0,0,13,标致,1,轿车,33,11,汽油动力,1,燃油动力,11.27,17.97,1,1,1,2,1,合资,1,非豪华
2313,迈锐宝,139,上汽通用雪佛兰,b,中型车,美国,0,0,0,71,雪佛兰,1,轿车,1,11,汽油动力,1,燃油动力,16.29,23.69,1,1,1,2,1,合资,1,非豪华
4973,起亚KX3新能源,57,东风悦达起亚,suva0,小型SUV,韩国,1,0,0,62,起亚,2,SUV,82,21,纯电动力,2,新能源,23.98,23.98,1,1,1,2,1,合资,1,非豪华
2319,起亚K2,57,东风悦达起亚,a0,小型车,韩国,1,0,0,62,起亚,1,轿车,82,11,汽油动力,1,燃油动力,7.29,10.99,1,1,1,2,1,合资,1,非豪华
4993,途铠,58,上汽大众,suva0,小型SUV,德国,1,0,0,1,大众,2,SUV,49,11,汽油动力,1,燃油动力,12.79,15.99,1,1,1,2,1,合资,1,非豪华
4986,柯迪亚克GT,162,上汽斯柯达,suvb,中型SUV,捷克,1,0,0,67,斯柯达,2,SUV,420,11,汽油动力,1,燃油动力,17.99,26.99,1,1,1,2,1,合资,1,非豪华
3672,索纳塔九,27,北京现代,b,中型车,韩国,1,0,0,12,现代,1,轿车,82,11,汽油动力,1,燃油动力,16.98,24.98,1,1,1,2,1,合资,1,非豪华
1007,北京现代ix35,27,北京现代,suva,紧凑型SUV,韩国,1,0,0,12,现代,2,SUV,82,11,汽油动力,1,燃油动力,11.99,24.28,1,1,1,2,1,合资,1,非豪华
3664,KX3傲跑,57,东风悦达起亚,suva0,小型SUV,韩国,1,0,0,62,起亚,2,SUV,82,11,汽油动力,1,燃油动力,10.88,18.68,1,1,1,2,1,合资,1,非豪华
2348,爱唯欧,139,上汽通用雪佛兰,a0,小型车,美国,0,0,0,71,雪佛兰,1,轿车,1,11,汽油动力,1,燃油动力,7.39,11.48,1,1,1,2,1,合资,1,非豪华
3693,金牛座,43,长安福特,b,中型车,美国,1,0,0,8,福特,1,轿车,1,11,汽油动力,1,燃油动力,22.89,36.98,1,1,1,2,1,合资,1,非豪华
2381,楼兰,92,东风日产,suvb,中型SUV,日本,1,0,0,63,日产,2,SUV,81,11,汽油动力,1,燃油动力,23.88,48.88,1,1,1,2,1,合资,1,非豪华
5414,标致4008新能源,38,东风标致,suva,紧凑型SUV,法国,2,0,0,13,标致,2,SUV,33,0,无数据,0,无数据,0,0,1,0,0,2,1,合资,1,非豪华
4102,冠道,32,广汽本田,suvb,中型SUV,日本,1,0,0,14,本田,2,SUV,81,11,汽油动力,1,燃油动力,22,33.28,1,1,1,2,1,合资,1,非豪华
4105,科沃兹,139,上汽通用雪佛兰,a,紧凑型车,美国,1,0,0,71,雪佛兰,1,轿车,1,11,汽油动力,1,燃油动力,7.99,11.49,1,1,1,2,1,合资,1,非豪华
4107,悦纳,27,北京现代,a0,小型车,韩国,1,0,0,12,现代,1,轿车,82,11,汽油动力,1,燃油动力,7.28,10.58,1,1,1,2,1,合资,1,非豪华
