modelID,powerID,powerName,powerCategoryID,powerCategoryName
4889,11,汽油动力,1,燃油动力
450,11,汽油动力,1,燃油动力
880,11,汽油动力,1,燃油动力
2107,11,汽油动力,1,燃油动力
3451,11,汽油动力,1,燃油动力
3886,11,汽油动力,1,燃油动力
4847,12,柴油动力,1,燃油动力
5126,11,汽油动力,1,燃油动力
197,11,汽油动力,1,燃油动力
3430,22,油电混合动力,2,新能源
4396,22,油电混合动力,2,新能源
15,11,汽油动力,1,燃油动力
18,11,汽油动力,1,燃油动力
56,11,汽油动力,1,燃油动力
57,11,汽油动力,1,燃油动力
59,11,汽油动力,1,燃油动力
60,11,汽油动力,1,燃油动力
77,11,汽油动力,1,燃油动力
78,11,汽油动力,1,燃油动力
110,11,汽油动力,1,燃油动力
117,11,汽油动力,1,燃油动力
121,11,汽油动力,1,燃油动力
139,11,汽油动力,1,燃油动力
146,11,汽油动力,1,燃油动力
164,11,汽油动力,1,燃油动力
224,11,汽油动力,1,燃油动力
261,11,汽油动力,1,燃油动力
281,11,汽油动力,1,燃油动力
285,11,汽油动力,1,燃油动力
290,11,汽油动力,1,燃油动力
314,11,汽油动力,1,燃油动力
341,11,汽油动力,1,燃油动力
345,11,汽油动力,1,燃油动力
351,11,汽油动力,1,燃油动力
360,11,汽油动力,1,燃油动力
365,11,汽油动力,1,燃油动力
395,11,汽油动力,1,燃油动力
403,11,汽油动力,1,燃油动力
455,11,汽油动力,1,燃油动力
467,11,汽油动力,1,燃油动力
477,11,汽油动力,1,燃油动力
482,11,汽油动力,1,燃油动力
485,11,汽油动力,1,燃油动力
501,11,汽油动力,1,燃油动力
502,11,汽油动力,1,燃油动力
520,11,汽油动力,1,燃油动力
521,11,汽油动力,1,燃油动力
526,11,汽油动力,1,燃油动力
552,11,汽油动力,1,燃油动力
561,11,汽油动力,1,燃油动力
569,11,汽油动力,1,燃油动力
572,11,汽油动力,1,燃油动力
581,11,汽油动力,1,燃油动力
588,11,汽油动力,1,燃油动力
593,11,汽油动力,1,燃油动力
602,11,汽油动力,1,燃油动力
622,11,汽油动力,1,燃油动力
623,11,汽油动力,1,燃油动力
627,11,汽油动力,1,燃油动力
635,11,汽油动力,1,燃油动力
673,11,汽油动力,1,燃油动力
740,11,汽油动力,1,燃油动力
793,11,汽油动力,1,燃油动力
804,11,汽油动力,1,燃油动力
833,11,汽油动力,1,燃油动力
834,11,汽油动力,1,燃油动力
841,11,汽油动力,1,燃油动力
859,11,汽油动力,1,燃油动力
864,11,汽油动力,1,燃油动力
909,11,汽油动力,1,燃油动力
961,11,汽油动力,1,燃油动力
2027,11,汽油动力,1,燃油动力
2081,11,汽油动力,1,燃油动力
2108,11,汽油动力,1,燃油动力
2124,11,汽油动力,1,燃油动力
2211,11,汽油动力,1,燃油动力
2212,11,汽油动力,1,燃油动力
2214,11,汽油动力,1,燃油动力
2228,11,汽油动力,1,燃油动力
2246,11,汽油动力,1,燃油动力
2306,11,汽油动力,1,燃油动力
2381,11,汽油动力,1,燃油动力
2388,21,纯电动力,2,新能源
2417,11,汽油动力,1,燃油动力
2453,11,汽油动力,1,燃油动力
2455,11,汽油动力,1,燃油动力
2459,11,汽油动力,1,燃油动力
2462,11,汽油动力,1,燃油动力
2466,11,汽油动力,1,燃油动力
2475,11,汽油动力,1,燃油动力
2476,11,汽油动力,1,燃油动力
2482,11,汽油动力,1,燃油动力
2510,11,汽油动力,1,燃油动力
2512,11,汽油动力,1,燃油动力
2514,11,汽油动力,1,燃油动力
2515,11,汽油动力,1,燃油动力
2516,11,汽油动力,1,燃油动力
2517,11,汽油动力,1,燃油动力
2519,11,汽油动力,1,燃油动力
2520,11,汽油动力,1,燃油动力
2521,11,汽油动力,1,燃油动力
2522,11,汽油动力,1,燃油动力
2523,11,汽油动力,1,燃油动力
2524,11,汽油动力,1,燃油动力
2527,11,汽油动力,1,燃油动力
2535,11,汽油动力,1,燃油动力
2537,11,汽油动力,1,燃油动力
2539,11,汽油动力,1,燃油动力
2541,11,汽油动力,1,燃油动力
2542,11,汽油动力,1,燃油动力
2543,11,汽油动力,1,燃油动力
2545,11,汽油动力,1,燃油动力
2566,11,汽油动力,1,燃油动力
2568,11,汽油动力,1,燃油动力
2569,11,汽油动力,1,燃油动力
2570,11,汽油动力,1,燃油动力
2571,11,汽油动力,1,燃油动力
2572,11,汽油动力,1,燃油动力
2573,11,汽油动力,1,燃油动力
2576,11,汽油动力,1,燃油动力
2577,11,汽油动力,1,燃油动力
2579,11,汽油动力,1,燃油动力
2581,11,汽油动力,1,燃油动力
2599,11,汽油动力,1,燃油动力
2603,11,汽油动力,1,燃油动力
2608,12,柴油动力,1,燃油动力
2613,11,汽油动力,1,燃油动力
2653,11,汽油动力,1,燃油动力
2659,11,汽油动力,1,燃油动力
2660,11,汽油动力,1,燃油动力
2673,11,汽油动力,1,燃油动力
2674,11,汽油动力,1,燃油动力
2745,11,汽油动力,1,燃油动力
2754,11,汽油动力,1,燃油动力
2755,11,汽油动力,1,燃油动力
2761,22,油电混合动力,2,新能源
2774,11,汽油动力,1,燃油动力
2810,11,汽油动力,1,燃油动力
2834,11,汽油动力,1,燃油动力
2852,11,汽油动力,1,燃油动力
2860,11,汽油动力,1,燃油动力
2895,11,汽油动力,1,燃油动力
2915,11,汽油动力,1,燃油动力
2923,11,汽油动力,1,燃油动力
2960,11,汽油动力,1,燃油动力
2973,11,汽油动力,1,燃油动力
2976,11,汽油动力,1,燃油动力
2985,11,汽油动力,1,燃油动力
2986,11,汽油动力,1,燃油动力
2992,11,汽油动力,1,燃油动力
3034,11,汽油动力,1,燃油动力
3035,11,汽油动力,1,燃油动力
3064,11,汽油动力,1,燃油动力
3086,11,汽油动力,1,燃油动力
3089,11,汽油动力,1,燃油动力
3097,11,汽油动力,1,燃油动力
3101,11,汽油动力,1,燃油动力
3149,11,汽油动力,1,燃油动力
3164,11,汽油动力,1,燃油动力
3194,11,汽油动力,1,燃油动力
3215,11,汽油动力,1,燃油动力
3221,11,汽油动力,1,燃油动力
3298,11,汽油动力,1,燃油动力
3307,11,汽油动力,1,燃油动力
3360,11,汽油动力,1,燃油动力
3372,11,汽油动力,1,燃油动力
3392,11,汽油动力,1,燃油动力
3412,11,汽油动力,1,燃油动力
3432,12,柴油动力,1,燃油动力
3440,11,汽油动力,1,燃油动力
3442,11,汽油动力,1,燃油动力
3443,11,汽油动力,1,燃油动力
3444,11,汽油动力,1,燃油动力
3448,11,汽油动力,1,燃油动力
3455,11,汽油动力,1,燃油动力
3456,11,汽油动力,1,燃油动力
