styleID,isCalc,isShow
34505,0,0
34387,0,0
15778,0,0
34956,0,0
34954,0,0
34955,0,0
34953,0,0
17800,0,0
34427,0,0
34561,0,0
12647,0,0
34546,0,0
34425,0,0
34494,0,0
34392,0,0
34527,0,0
30322,0,0
15817,0,0
19446,0,0
34985,0,0
31083,0,0
34688,0,0
33776,0,0
33398,0,0
34283,0,0
34495,0,0
32959,0,0
34052,0,0
33629,0,0
33769,0,0
32339,0,0
33013,0,0
34867,0,0
33169,0,0
35128,0,0
34214,0,0
34526,0,0
34503,0,0
34977,0,0
34912,0,0
33756,0,0
35007,0,0
34328,0,0
31699,0,0
34181,0,0
34370,0,0
30795,0,0
32510,0,0
34437,0,0
34514,0,0
34548,0,0
34290,0,0
34983,0,0
34520,0,0
24676,0,0
20921,0,0
34484,0,0
14786,0,0
34506,0,0
34933,0,0
34447,0,0
34476,0,0
32323,0,0
34515,0,0
32864,0,0
34967,0,0
33273,0,0
32752,0,0
33725,0,0
31779,0,0
34411,0,0
34410,0,0
33511,0,0
32062,0,0
32058,0,0
32060,0,0
32059,0,0
32933,0,0
34412,0,0
34575,0,0
34531,0,0
34420,0,0
33031,0,0
32840,0,0
34431,0,0
34530,0,0
32406,0,0
34299,0,0
34436,0,0
31728,0,0
31769,0,0
33778,0,0
34468,0,0
33481,0,0
34482,0,0
32862,0,0
32861,0,0
33555,0,0
34883,0,0
34845,0,0
1006288,0,0
32860,0,0
20186,0,0
32875,0,0
34393,0,0
32325,0,0
34718,0,0
34379,0,0
34378,0,0
23325,0,0
23356,0,0
33728,0,0
29663,0,0
25520,0,0
25519,0,0
34498,0,0
34502,0,0
34518,0,0
1005300,0,0
26081,0,0
34493,0,0
28138,0,0
26265,0,0
26404,0,0
34500,0,0
34784,0,0
33285,0,0
34394,0,0
30851,0,0
30852,0,0
27380,0,0
27721,0,0
34489,0,0
34333,0,0
30122,0,0
34478,0,0
34479,0,0
33785,0,0
30318,0,0
30320,0,0
30319,0,0
34486,0,0
34487,0,0
30660,0,0
30783,0,0
33483,0,0
33282,0,0
32879,0,0
33272,0,0
33298,0,0
33786,0,0
35092,0,0
34085,0,0
34086,0,0
34529,0,0
34298,0,0
34376,0,0
34423,0,0
32931,1,1
34414,1,1
34504,1,1
33394,1,1
34002,1,1
33372,1,1
35044,1,1
34968,1,1
32246,1,1
