styleID,styleName,isOnsale,modelID,modelName
1001632,2009款 3.0T两驱 基本型皮卡4KH1-TC1,0,2834,五十铃皮卡
1001631,2009款 2.5L两驱 基本型皮卡4ZE3-MPI,0,2834,五十铃皮卡
1001630,2009款 2.8T两驱 基本型皮卡4JB1-TCT,0,2834,五十铃皮卡
3640,2008款1.6L GL-i AT,0,111,威驰
1001639,2012款 2.4T单排4D254D25,0,2673,御骏
1001635,2014款 2.4L四驱领航型4G69,0,3101,风骏6
3638,2008款 1.3L GL-i AT,0,111,威驰
3639,2008款1.6L GL-i MT,0,111,威驰
3630,2008款 2.0L 手动豪华纪念版,0,567,宾悦
3631,2008款 2.4L 手动豪华纪念版,0,567,宾悦
3632,2008款 2.4L 手动顶级纪念版,0,567,宾悦
3633,2008款 6.2 AT,0,38,悍马H2
3634,2007款 2.0L 5座标准版,0,453,佳乐
3635,2007款 2.0L 7座标准版,0,453,佳乐
3636,2008款 H3x 3.7,0,379,悍马H3
3637,2008款 H3 ALPHA 5.3,0,379,悍马H3
1001621,2013款 1.3L商务舒适型CA4GX13,0,3052,佳宝V80
1001623,2013款 1.3L商务豪华型CA4GX13,0,3052,佳宝V80
3650,2008款 两厢 2.0L 手动逸致版,0,99,标致307
3651,2008款 两厢 2.0L 自动雅致版,0,99,标致307
1001629,2012款 1.2L标准型,0,3058,福运
1001628,2012款 1.2L基本型,0,3058,福运
1001625,2013款 1.3L物流舒适型CA4GX13,0,3052,佳宝V80
1001624,2013款 1.3L物流标准型CA4GX13,0,3052,佳宝V80
3649,2008款 两厢 2.0L 自动逸致版,0,99,标致307
3641,2008款 1.6L GL-S 运动版 AT,0,111,威驰
3642,2008款 1.6L GLX-i 天窗版 AT,0,111,威驰
3643,2008款 3.6L精英型,0,49,凯迪拉克SRX
3644,2008款 3.6L豪华型,0,49,凯迪拉克SRX
3645,2008款 4.6L豪华型,0,49,凯迪拉克SRX
3646,2008款 2.0L 舒适型,0,566,铂锐
3647,2008款 2.0L 豪华型,0,566,铂锐
3648,2008款 2.7L 豪华型,0,566,铂锐
1001656,2013款 2.4L欧洲版 两驱精英型小双排4G69S4N,0,2462,风骏5
1001650,2013款 1.2L超值版 基本型7座A12国IV,0,2482,北汽威旺306
3660,2008款 运动版 1.8L 自动GL－S,0,526,卡罗拉
1001652,2013款 1.2L超值版 豪华型8座A12国IV,0,2482,北汽威旺306
3661,2008款 运动版 1.8L 手动GLX－S,0,526,卡罗拉
1001651,2013款 1.2L超值版 舒适型7座A12国IV,0,2482,北汽威旺306
3662,2008款 运动版 1.8L 自动GLX－S,0,526,卡罗拉
1000,2004款 1.6L 手动标准型,0,51,伊兰特
1001658,2013款 2.4L欧洲版 两驱精英型大双排4G69S4N,0,2462,风骏5
1001657,2013款 2.8T欧洲版 两驱精英型小双排GW2.8TC,0,2462,风骏5
1001659,2013款 2.8T欧洲版 两驱精英型大双排GW2.8TC,0,2462,风骏5
3652,2008款 两厢 2.0L 手动雅致版,0,99,标致307
3653,2008款 两厢 2.0L 自动精致版,0,99,标致307
3654,2008款 两厢 2.0L 手动精致版,0,99,标致307
3655,2008款 两厢 1.6L 自动精致版,0,99,标致307
3656,2008款 两厢 1.6L 手动精致版,0,99,标致307
3657,2008款 两厢 1.6L 手动雅致版,0,99,标致307
3658,2008款 两厢 1.6L 自动雅致版,0,99,标致307
3659,2008款 运动版 1.8L 手动GL－S,0,526,卡罗拉
1001643,2012款 1.0L超值型,0,2488,星旺
1001645,2012款 1.0L精英型,0,2488,星旺
1001644,2012款 1.0L豪华型,0,2488,星旺
3670,2008款 2.8 FSI 舒适娱乐型,0,18,奥迪A6L
3671,2008款 2.8 FSI 尊享型,0,18,奥迪A6L
1001641,2013款 1.3L舒适型,0,3136,小海狮X30
3672,2008款 3.2 FSI quattro 舒适娱乐型,0,18,奥迪A6L
1001640,2012款 2.8T单排4JB1TI4JB1TI,0,2673,御骏
3673,2008款 3.2 FSI quattro 豪华型,0,18,奥迪A6L
1011,2004款 XG 250,0,131,君爵
